lemma_id,doc_id,sent_idx,sentence,tokens_json,lemmas_json,lemmas_with_case_json,lemmatized_text,lemmatized_text_with_case,pos_tags_json,cleaned_version,created_at
1,doc_0117,1,"The Effective Usage Ratio Under an Account Hierarchy
Configuration
Introduction
The depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.","[""Effective"", ""Usage"", ""Ratio"", ""Account"", ""Hierarchy"", ""\n"", ""Configuration"", ""\n"", ""Introduction"", ""\n"", ""depth"", ""oblivious"", ""fair"", ""share"", ""factor"", ""variant"", ""default"", ""fair"", ""share"", ""factor"", ""increases"", ""usable"", ""priority"", ""ranges"", ""improves"", ""fairness"", ""accounts"", ""deep"", ""and/or"", ""irregular"", ""hierarchies""]","[""effective"", ""Usage"", ""ratio"", ""Account"", ""Hierarchy"", ""\n"", ""Configuration"", ""\n"", ""introduction"", ""\n"", ""depth"", ""oblivious"", ""fair"", ""share"", ""factor"", ""variant"", ""default"", ""fair"", ""share"", ""factor"", ""increase"", ""usable"", ""priority"", ""range"", ""improve"", ""fairness"", ""account"", ""deep"", ""and/or"", ""irregular"", ""hierarchy""]","[""Effective"", ""Usage"", ""Ratio"", ""Account"", ""Hierarchy"", ""\n"", ""Configuration"", ""\n"", ""Introduction"", ""\n"", ""depth"", ""oblivious"", ""fair"", ""share"", ""factor"", ""variant"", ""default"", ""fair"", ""share"", ""factor"", ""increase"", ""usable"", ""priority"", ""range"", ""improve"", ""fairness"", ""account"", ""deep"", ""and/or"", ""irregular"", ""hierarchy""]","effective Usage ratio Account Hierarchy 
 Configuration 
 introduction 
 depth oblivious fair share factor variant default fair share factor increase usable priority range improve fairness account deep and/or irregular hierarchy","Effective Usage Ratio Account Hierarchy 
 Configuration 
 Introduction 
 depth oblivious fair share factor variant default fair share factor increase usable priority range improve fairness account deep and/or irregular hierarchy","[""ADJ"", ""PROPN"", ""NOUN"", ""PROPN"", ""PROPN"", ""SPACE"", ""PROPN"", ""SPACE"", ""NOUN"", ""SPACE"", ""NOUN"", ""ADJ"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""ADJ"", ""CCONJ"", ""ADJ"", ""NOUN""]",1,2026-01-15T09:05:34Z
2,doc_0117,2,"The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here
Depth-Oblivious Fair-Share Formula
The main formula for calculating the fair-share factor of an account is:
 F = 2^(-R)
where:
F
is the fair-share factor
R
is the effective usage ratio of the account
This formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).","[""reader"", ""assumed"", ""familiar"", ""priority"", ""multifactor"", ""plugin"", ""specifics"", ""depth"", ""oblivious"", ""factor"", ""documented"", ""\n"", ""Depth"", ""Oblivious"", ""Fair"", ""Share"", ""Formula"", ""\n"", ""main"", ""formula"", ""calculating"", ""fair"", ""share"", ""factor"", ""account"", ""\n "", ""F"", ""="", ""2^(-R"", ""\n"", ""\n"", ""F"", ""\n"", ""fair"", ""share"", ""factor"", ""\n"", ""R"", ""\n"", ""effective"", ""usage"", ""ratio"", ""account"", ""\n"", ""formula"", ""resembles"", ""original"", ""fair"", ""share"", ""formula"", ""produces"", ""result"", ""account"", ""level"", ""tree"", ""root""]","[""reader"", ""assume"", ""familiar"", ""priority"", ""multifactor"", ""plugin"", ""specific"", ""depth"", ""oblivious"", ""factor"", ""document"", ""\n"", ""depth"", ""oblivious"", ""Fair"", ""Share"", ""Formula"", ""\n"", ""main"", ""formula"", ""calculate"", ""fair"", ""share"", ""factor"", ""account"", ""\n "", ""F"", ""="", ""2^(-r"", ""\n"", ""\n"", ""F"", ""\n"", ""fair"", ""share"", ""factor"", ""\n"", ""r"", ""\n"", ""effective"", ""usage"", ""ratio"", ""account"", ""\n"", ""formula"", ""resemble"", ""original"", ""fair"", ""share"", ""formula"", ""produce"", ""result"", ""account"", ""level"", ""tree"", ""root""]","[""reader"", ""assume"", ""familiar"", ""priority"", ""multifactor"", ""plugin"", ""specific"", ""depth"", ""oblivious"", ""factor"", ""document"", ""\n"", ""Depth"", ""Oblivious"", ""Fair"", ""Share"", ""Formula"", ""\n"", ""main"", ""formula"", ""calculate"", ""fair"", ""share"", ""factor"", ""account"", ""\n "", ""F"", ""="", ""2^(-R"", ""\n"", ""\n"", ""F"", ""\n"", ""fair"", ""share"", ""factor"", ""\n"", ""R"", ""\n"", ""effective"", ""usage"", ""ratio"", ""account"", ""\n"", ""formula"", ""resemble"", ""original"", ""fair"", ""share"", ""formula"", ""produce"", ""result"", ""account"", ""level"", ""tree"", ""root""]","reader assume familiar priority multifactor plugin specific depth oblivious factor document 
 depth oblivious Fair Share Formula 
 main formula calculate fair share factor account 
  F = 2^(-r 
 
 F 
 fair share factor 
 r 
 effective usage ratio account 
 formula resemble original fair share formula produce result account level tree root","reader assume familiar priority multifactor plugin specific depth oblivious factor document 
 Depth Oblivious Fair Share Formula 
 main formula calculate fair share factor account 
  F = 2^(-R 
 
 F 
 fair share factor 
 R 
 effective usage ratio account 
 formula resemble original fair share formula produce result account level tree root","[""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""VERB"", ""SPACE"", ""NOUN"", ""ADJ"", ""PROPN"", ""PROPN"", ""PROPN"", ""SPACE"", ""ADJ"", ""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""SPACE"", ""PROPN"", ""NOUN"", ""NUM"", ""SPACE"", ""SPACE"", ""PROPN"", ""SPACE"", ""ADJ"", ""NOUN"", ""NOUN"", ""SPACE"", ""NOUN"", ""SPACE"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""SPACE"", ""NOUN"", ""VERB"", ""ADJ"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN""]",1,2026-01-15T09:05:34Z
3,doc_0117,3,"Indeed, for first-level accounts, the effective usage ratio R is equal to the usage ratio r defined as:
 r = U/S
where:
S
is the normalized shares
U
is the normalized usage factoring in half-life decay
which is the same as the original formula.","[""level"", ""accounts"", ""effective"", ""usage"", ""ratio"", ""R"", ""equal"", ""usage"", ""ratio"", ""r"", ""defined"", ""\n "", ""r"", ""="", ""U"", ""S"", ""\n"", ""\n"", ""S"", ""\n"", ""normalized"", ""shares"", ""\n"", ""U"", ""\n"", ""normalized"", ""usage"", ""factoring"", ""half"", ""life"", ""decay"", ""\n"", ""original"", ""formula""]","[""level"", ""account"", ""effective"", ""usage"", ""ratio"", ""r"", ""equal"", ""usage"", ""ratio"", ""r"", ""define"", ""\n "", ""r"", ""="", ""U"", ""S"", ""\n"", ""\n"", ""S"", ""\n"", ""normalize"", ""share"", ""\n"", ""U"", ""\n"", ""normalize"", ""usage"", ""factoring"", ""half"", ""life"", ""decay"", ""\n"", ""original"", ""formula""]","[""level"", ""account"", ""effective"", ""usage"", ""ratio"", ""R"", ""equal"", ""usage"", ""ratio"", ""r"", ""define"", ""\n "", ""r"", ""="", ""U"", ""S"", ""\n"", ""\n"", ""S"", ""\n"", ""normalize"", ""share"", ""\n"", ""U"", ""\n"", ""normalize"", ""usage"", ""factoring"", ""half"", ""life"", ""decay"", ""\n"", ""original"", ""formula""]","level account effective usage ratio r equal usage ratio r define 
  r = U S 
 
 S 
 normalize share 
 U 
 normalize usage factoring half life decay 
 original formula","level account effective usage ratio R equal usage ratio r define 
  r = U S 
 
 S 
 normalize share 
 U 
 normalize usage factoring half life decay 
 original formula","[""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB"", ""SPACE"", ""NOUN"", ""NOUN"", ""PROPN"", ""PROPN"", ""SPACE"", ""SPACE"", ""PROPN"", ""SPACE"", ""VERB"", ""NOUN"", ""SPACE"", ""PROPN"", ""SPACE"", ""VERB"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""SPACE"", ""ADJ"", ""NOUN""]",1,2026-01-15T09:05:34Z
4,doc_0117,4,"The Effective Usage Ratio Under an Account Hierarchy
The generalized formula for R is a bit more complex.","[""Effective"", ""Usage"", ""Ratio"", ""Account"", ""Hierarchy"", ""\n"", ""generalized"", ""formula"", ""R"", ""bit"", ""complex""]","[""effective"", ""Usage"", ""ratio"", ""Account"", ""Hierarchy"", ""\n"", ""generalized"", ""formula"", ""r"", ""bit"", ""complex""]","[""Effective"", ""Usage"", ""Ratio"", ""Account"", ""Hierarchy"", ""\n"", ""generalized"", ""formula"", ""R"", ""bit"", ""complex""]","effective Usage ratio Account Hierarchy 
 generalized formula r bit complex","Effective Usage Ratio Account Hierarchy 
 generalized formula R bit complex","[""ADJ"", ""PROPN"", ""NOUN"", ""PROPN"", ""PROPN"", ""SPACE"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ""]",1,2026-01-15T09:05:34Z
5,doc_0117,5,"It involves a local usage ratio rl:
 rl = r / (Uall_siblings/Sall_siblings)
which is the ratio between the usage ratio of an account, and the total usage ratio of all the siblings at his level including itself.","[""involves"", ""local"", ""usage"", ""ratio"", ""rl"", ""\n "", ""rl"", ""="", ""r"", ""Uall_siblings"", ""Sall_siblings"", ""\n"", ""ratio"", ""usage"", ""ratio"", ""account"", ""total"", ""usage"", ""ratio"", ""siblings"", ""level"", ""including""]","[""involve"", ""local"", ""usage"", ""ratio"", ""rl"", ""\n "", ""rl"", ""="", ""r"", ""uall_sibling"", ""sall_sibling"", ""\n"", ""ratio"", ""usage"", ""ratio"", ""account"", ""total"", ""usage"", ""ratio"", ""sibling"", ""level"", ""include""]","[""involve"", ""local"", ""usage"", ""ratio"", ""rl"", ""\n "", ""rl"", ""="", ""r"", ""Uall_sibling"", ""Sall_sibling"", ""\n"", ""ratio"", ""usage"", ""ratio"", ""account"", ""total"", ""usage"", ""ratio"", ""sibling"", ""level"", ""include""]","involve local usage ratio rl 
  rl = r uall_sibling sall_sibling 
 ratio usage ratio account total usage ratio sibling level include","involve local usage ratio rl 
  rl = r Uall_sibling Sall_sibling 
 ratio usage ratio account total usage ratio sibling level include","[""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""SPACE"", ""PROPN"", ""X"", ""NOUN"", ""NOUN"", ""NOUN"", ""SPACE"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB""]",1,2026-01-15T09:05:34Z
6,doc_0117,6,"For example, assuming that all the children of an account have used in total two times their combined shares (which equal the shares of the parent account), but that one of the child has used only two thirds of his shares, the local usage ratio of that child will be of one third.","[""example"", ""assuming"", ""children"", ""account"", ""total"", ""times"", ""combined"", ""shares"", ""equal"", ""shares"", ""parent"", ""account"", ""child"", ""thirds"", ""shares"", ""local"", ""usage"", ""ratio"", ""child""]","[""example"", ""assume"", ""child"", ""account"", ""total"", ""time"", ""combine"", ""share"", ""equal"", ""share"", ""parent"", ""account"", ""child"", ""third"", ""share"", ""local"", ""usage"", ""ratio"", ""child""]","[""example"", ""assume"", ""child"", ""account"", ""total"", ""time"", ""combine"", ""share"", ""equal"", ""share"", ""parent"", ""account"", ""child"", ""third"", ""share"", ""local"", ""usage"", ""ratio"", ""child""]",example assume child account total time combine share equal share parent account child third share local usage ratio child,example assume child account total time combine share equal share parent account child third share local usage ratio child,"[""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""VERB"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN""]",1,2026-01-15T09:05:34Z
7,doc_0117,7,"The general formula for R is then defined by:
 R = Rparent * rl^k
where:
k
varies between 0 and 1 and determines how much the effective usage ratio of an account is determined by the usage ratio of its ancestors.","[""general"", ""formula"", ""R"", ""defined"", ""\n "", ""R"", ""="", ""Rparent"", ""rl^k"", ""\n"", ""\n"", ""k"", ""\n"", ""varies"", ""0"", ""1"", ""determines"", ""effective"", ""usage"", ""ratio"", ""account"", ""determined"", ""usage"", ""ratio"", ""ancestors""]","[""general"", ""formula"", ""r"", ""define"", ""\n "", ""r"", ""="", ""Rparent"", ""rl^k"", ""\n"", ""\n"", ""k"", ""\n"", ""vary"", ""0"", ""1"", ""determine"", ""effective"", ""usage"", ""ratio"", ""account"", ""determine"", ""usage"", ""ratio"", ""ancestor""]","[""general"", ""formula"", ""R"", ""define"", ""\n "", ""R"", ""="", ""Rparent"", ""rl^k"", ""\n"", ""\n"", ""k"", ""\n"", ""vary"", ""0"", ""1"", ""determine"", ""effective"", ""usage"", ""ratio"", ""account"", ""determine"", ""usage"", ""ratio"", ""ancestor""]","general formula r define 
  r = Rparent rl^k 
 
 k 
 vary 0 1 determine effective usage ratio account determine usage ratio ancestor","general formula R define 
  R = Rparent rl^k 
 
 k 
 vary 0 1 determine effective usage ratio account determine usage ratio ancestor","[""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""SPACE"", ""NOUN"", ""PROPN"", ""PROPN"", ""PROPN"", ""SPACE"", ""SPACE"", ""NOUN"", ""SPACE"", ""VERB"", ""NUM"", ""NUM"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN""]",1,2026-01-15T09:05:34Z
8,doc_0117,8,"To understand the formula for k, it is useful to first make a few observations about the formula for R. On the one hand, if k equals 1, the above formula gives R = Rparent * rl. For a second-level account, by plugging in the formula for rl, this leads to R = r * Uparent/Uall_siblings.","[""understand"", ""formula"", ""k"", ""useful"", ""observations"", ""formula"", ""R."", ""hand"", ""k"", ""equals"", ""1"", ""formula"", ""gives"", ""R"", ""="", ""Rparent"", ""rl"", ""second"", ""level"", ""account"", ""plugging"", ""formula"", ""rl"", ""leads"", ""R"", ""="", ""r"", ""Uparent"", ""Uall_siblings""]","[""understand"", ""formula"", ""k"", ""useful"", ""observation"", ""formula"", ""R."", ""hand"", ""k"", ""equal"", ""1"", ""formula"", ""give"", ""r"", ""="", ""Rparent"", ""rl"", ""second"", ""level"", ""account"", ""plug"", ""formula"", ""rl"", ""lead"", ""r"", ""="", ""r"", ""uparent"", ""uall_sibling""]","[""understand"", ""formula"", ""k"", ""useful"", ""observation"", ""formula"", ""R."", ""hand"", ""k"", ""equal"", ""1"", ""formula"", ""give"", ""R"", ""="", ""Rparent"", ""rl"", ""second"", ""level"", ""account"", ""plug"", ""formula"", ""rl"", ""lead"", ""R"", ""="", ""r"", ""Uparent"", ""Uall_sibling""]",understand formula k useful observation formula R. hand k equal 1 formula give r = Rparent rl second level account plug formula rl lead r = r uparent uall_sibling,understand formula k useful observation formula R. hand k equal 1 formula give R = Rparent rl second level account plug formula rl lead R = r Uparent Uall_sibling,"[""VERB"", ""NOUN"", ""PROPN"", ""ADJ"", ""NOUN"", ""NOUN"", ""PROPN"", ""NOUN"", ""PROPN"", ""VERB"", ""NUM"", ""NOUN"", ""VERB"", ""NOUN"", ""PROPN"", ""PROPN"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN""]",1,2026-01-15T09:05:34Z
9,doc_0117,9,"Assuming jobs are submitted at leaf accounts, Uparent = Uall_siblings which gives R = r.","[""Assuming"", ""jobs"", ""submitted"", ""leaf"", ""accounts"", ""Uparent"", ""="", ""Uall_siblings"", ""gives"", ""R"", ""="", ""r.""]","[""assume"", ""job"", ""submit"", ""leaf"", ""account"", ""Uparent"", ""="", ""uall_sibling"", ""give"", ""R"", ""="", ""r.""]","[""Assume"", ""job"", ""submit"", ""leaf"", ""account"", ""Uparent"", ""="", ""Uall_sibling"", ""give"", ""R"", ""="", ""r.""]",assume job submit leaf account Uparent = uall_sibling give R = r.,Assume job submit leaf account Uparent = Uall_sibling give R = r.,"[""VERB"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""PROPN"", ""ADJ"", ""NOUN"", ""VERB"", ""PROPN"", ""PUNCT"", ""PROPN""]",1,2026-01-15T09:05:34Z
10,doc_0117,10,"This means that if k equals 1, the fair-share factor of an account is only based on its own usage ratio. On the other hand, if k equals 0, R = Rparent which means the fair-share factor of an account is only based on the usage ratio of its ancestors.","[""means"", ""k"", ""equals"", ""1"", ""fair"", ""share"", ""factor"", ""account"", ""based"", ""usage"", ""ratio"", ""hand"", ""k"", ""equals"", ""0"", ""R"", ""="", ""Rparent"", ""means"", ""fair"", ""share"", ""factor"", ""account"", ""based"", ""usage"", ""ratio"", ""ancestors""]","[""mean"", ""k"", ""equal"", ""1"", ""fair"", ""share"", ""factor"", ""account"", ""base"", ""usage"", ""ratio"", ""hand"", ""k"", ""equal"", ""0"", ""r"", ""="", ""Rparent"", ""mean"", ""fair"", ""share"", ""factor"", ""account"", ""base"", ""usage"", ""ratio"", ""ancestor""]","[""mean"", ""k"", ""equal"", ""1"", ""fair"", ""share"", ""factor"", ""account"", ""base"", ""usage"", ""ratio"", ""hand"", ""k"", ""equal"", ""0"", ""R"", ""="", ""Rparent"", ""mean"", ""fair"", ""share"", ""factor"", ""account"", ""base"", ""usage"", ""ratio"", ""ancestor""]",mean k equal 1 fair share factor account base usage ratio hand k equal 0 r = Rparent mean fair share factor account base usage ratio ancestor,mean k equal 1 fair share factor account base usage ratio hand k equal 0 R = Rparent mean fair share factor account base usage ratio ancestor,"[""VERB"", ""PROPN"", ""VERB"", ""NUM"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""PROPN"", ""VERB"", ""NUM"", ""NOUN"", ""PUNCT"", ""PROPN"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN""]",1,2026-01-15T09:05:34Z
