canonical_id,canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at,reason,evidence_json,boundary_valid,head_text,is_hpc,llm_used,llm_model,llm_confidence,llm_json
1,effective usage ratio,policy_or_metric,[],[],[1],4,1,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 4, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nThe generalized formula for R is a bit more complex.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 7, ""cleaned_version"": 1, ""sentence"": ""The general formula for R is then defined by:\n R = Rparent * rl^k\nwhere:\nk\nvaries between 0 and 1 and determines how much the effective usage ratio of an account is determined by the usage ratio of its ancestors.""}]",1,ratio,1,0,,,
2,account hierarchy,policy_or_metric,[],[],[2],5,3,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 4, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nThe generalized formula for R is a bit more complex.""}, {""doc_id"": ""doc_4387"", ""sent_idx"": 230, ""cleaned_version"": 1, ""sentence"": ""Name= Name of account. Note the name must be unique and can not represent different bank accounts at different points in the account hierarchy\nOrganization=Organization of the account. (Default is parent account unless parent account is root then organization is set to the account name.)""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 24, ""cleaned_version"": 1, ""sentence"": ""The Fair-share Factor Under An Account Hierarchy\nThe method described above presents a system whereby the priority of a user's job is calculated based on the portion of the machine allocated to the user and the historical usage of all the jobs run by that user under a specific account.""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 45, ""cleaned_version"": 1, ""sentence"": ""Note: the shares at any given tier in the Account hierarchy do not need to total up to 100 shares.""}]",1,hierarchy,1,0,,,
3,configuration,policy_or_metric,"[""Typical configuration""]",[],"[3, 354]",87,41,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 16, ""cleaned_version"": 1, ""sentence"": ""Plot of k as a function of Rparent\nConfiguration\nThe following slurm.conf parameters are used to enable the depth-oblivious flavor of the fair-share factor. See slurm.conf(5) man page for more details.""}, {""doc_id"": ""doc_04b1"", ""sent_idx"": 4, ""cleaned_version"": 1, ""sentence"": ""Actual performance depends upon the jobs to be executed plus the hardware and configuration used.""}, {""doc_id"": ""doc_04b1"", ""sent_idx"": 88, ""cleaned_version"": 1, ""sentence"": ""A Typical configuration would look like this...\nPurgeEventAfter=12months\nPurgeJobAfter=12months\nPurgeResvAfter=2months\nPurgeStepAfter=2months\nPurgeSuspendAfter=1month\nPurgeTXNAfter=12months\nPurgeUsageAfter=12months""}, {""doc_id"": ""doc_0605"", ""sent_idx"": 7, ""cleaned_version"": 1, ""sentence"": ""Prerequisites\nThe plugin requires additional libraries for compilation:\nlibcurl development files\nJSON-C\nConfiguration\nThe Elasticsearch instance should be running and reachable from the multiple SlurmctldHost configured. Refer to the Elasticsearch Official Documentation for further details on setup and configuration.""}]",1,configuration,1,0,,,
5,depth,policy_or_metric,[],[],[5],7,5,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 16, ""cleaned_version"": 1, ""sentence"": ""Plot of k as a function of Rparent\nConfiguration\nThe following slurm.conf parameters are used to enable the depth-oblivious flavor of the fair-share factor. See slurm.conf(5) man page for more details.""}, {""doc_id"": ""doc_05b9"", ""sent_idx"": 330, ""cleaned_version"": 1, ""sentence"": ""Long The subset of Depth Mean that the backfill scheduler attempted to schedule format: int64\nbf_cycle_sum (optional)""}, {""doc_id"": ""doc_37f2"", ""sent_idx"": 23, ""cleaned_version"": 1, ""sentence"": ""The tree is then visited in a depth-first traversal.""}]",1,depth,1,0,,,
6,share factor,policy_or_metric,[],[],[6],25,3,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 10, ""cleaned_version"": 1, ""sentence"": ""This means that if k equals 1, the fair-share factor of an account is only based on its own usage ratio. On the other hand, if k equals 0, R = Rparent which means the fair-share factor of an account is only based on the usage ratio of its ancestors.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 11, ""cleaned_version"": 1, ""sentence"": ""k = (1/(1+(5*ln(Rparent))^2)) if ln(Rparent)*ln(rl) <= 0\n k = 1 if ln(Rparent)*ln(rl) >= 0\nThis formula is chosen to ensure that, if the usage of the ancestors of an account is on target, the fair-share factor of the account mainly depends on its own usage.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 13, ""cleaned_version"": 1, ""sentence"": ""On the contrary, the more the ancestors of an account have underused/overused their shares, the more the fair-share factor of the account should get a bonus/malus by moving towards the fair-share factor of its parent.""}]",1,factor,1,0,,,
10,account,job_concept,"[""accounts"", ""specific accounts""]",[],"[10, 7830]",125,17,2026-01-14T15:41:19,2026-01-14 16:42:25,type:job_concept(lexicon: scheduling concept indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 1, ""cleaned_version"": 1, ""sentence"": ""The Effective Usage Ratio Under an Account Hierarchy\nConfiguration\nIntroduction\nThe depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 5, ""cleaned_version"": 1, ""sentence"": ""It involves a local usage ratio rl:\n rl = r / (Uall_siblings/Sall_siblings)\nwhich is the ratio between the usage ratio of an account, and the total usage ratio of all the siblings at his level including itself.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 6, ""cleaned_version"": 1, ""sentence"": ""For example, assuming that all the children of an account have used in total two times their combined shares (which equal the shares of the parent account), but that one of the child has used only two thirds of his shares, the local usage ratio of that child will be of one third.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 7, ""cleaned_version"": 1, ""sentence"": ""The general formula for R is then defined by:\n R = Rparent * rl^k\nwhere:\nk\nvaries between 0 and 1 and determines how much the effective usage ratio of an account is determined by the usage ratio of its ancestors.""}]",1,account,1,0,,,
13,priority,policy_or_metric,[],[],[13],76,24,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 18, ""cleaned_version"": 1, ""sentence"": ""PriorityType\nSet this value to \""priority/multifactor\"".""}, {""doc_id"": ""doc_04b1"", ""sent_idx"": 43, ""cleaned_version"": 1, ""sentence"": ""The priority/basic is considerably faster than other options, but schedules jobs only on a First In First Out (FIFO) basis.""}, {""doc_id"": ""doc_04b1"", ""sent_idx"": 76, ""cleaned_version"": 1, ""sentence"": ""This manages a queue of jobs on a First-In-First-Out (FIFO) basis and eliminates logic used to sort the queue by priority.""}, {""doc_id"": ""doc_05b9"", ""sent_idx"": 240, ""cleaned_version"": 1, ""sentence"": ""Boolean Is default association for user\nlineage (optional)\nString Complete path up the hierarchy to the root association\nmin (optional)\nv0_0_43_assoc_min\nparent_account (optional)\nString Name of parent account\npartition (optional)\nString Partition name\npriority (optional)\nv0.0.43_uint32_no_val_struct\nqos (optional)""}]",1,priority,1,0,,,
14,multifactor plugin,policy_or_metric,[],[],[14],7,6,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_289e"", ""sent_idx"": 5, ""cleaned_version"": 1, ""sentence"": ""Job Scheduling Priority\nJob scheduling priority is made up of a number of factors as described in the priority/multifactor plugin.""}, {""doc_id"": ""doc_37f2"", ""sent_idx"": 39, ""cleaned_version"": 1, ""sentence"": ""Important Notes\nAs the Fair Tree algorithm ranks all users, active or not, the administrator must carefully consider how to apply other priority weights in the priority/multifactor plugin. The PriorityWeightFairshare can be usefully set to a much smaller value than usual, possibly as low as 1 or 2 times the number of user associations.""}, {""doc_id"": ""doc_48b2"", ""sent_idx"": 36, ""cleaned_version"": 1, ""sentence"": ""sshare displays detailed information about fairshare usage on the cluster. Note that this is only viable when using the priority/multifactor plugin.""}, {""doc_id"": ""doc_5755"", ""sent_idx"": 66, ""cleaned_version"": 1, ""sentence"": ""After manually setting a job priority value, how can its priority value be returned to being managed by the priority/multifactor plugin?""}]",1,plugin,1,0,,,
18,share formula,policy_or_metric,[],[],[18],5,2,2026-01-14T15:41:19,2026-01-14 16:42:25,type:policy_or_metric(lexicon: policy/metric indicator) | boundary:ok | is_hpc:yes,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 21, ""cleaned_version"": 1, ""sentence"": ""A user's normalized usage that spans multiple time periods then becomes:\n U = UH / RH\nSimplified Fair-Share Formula\nThe simplified formula for calculating the fair-share factor for usage that spans multiple time periods and subject to a half-life decay is:\n F = 2**(-U/S/d)\nWhere:\nF\nis the fair-share factor\nS\nis the normalized shares\nU\nis the normalized usage factoring in half-life decay\nd\nis the FairShareDampeningFactor (a configuration parameter, default value of 1)""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 31, ""cleaned_version"": 1, ""sentence"": ""Usage Example\nThe Slurm Fair-Share Formula\nThe Slurm fair-share formula has been designed to provide fair scheduling to users based on the allocation and usage of every account.""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 38, ""cleaned_version"": 1, ""sentence"": ""Plugging in the effective usage into the fair-share formula above yields a fair-share factor that reflects the aggregated usage charged to each of the accounts in the fair-share hierarchy.""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 72, ""cleaned_version"": 1, ""sentence"": ""* 1 / 1) = 0.1458\nUsing the Slurm fair-share formula,\n F = 2**(-UE/S)\nthe fair-share factor for each user is:\nUser 1 fair-share factor: 2**(-.3875 / .3)""}]",1,formula,1,0,,,
20,formula,generic,[],[],[20],9,3,2026-01-14T15:41:19,2026-01-14 16:42:25,type:generic(generic term (needs strong evidence)) | boundary:generic term with low evidence | is_hpc:yes | llm:used,"[{""doc_id"": ""doc_0117"", ""sent_idx"": 2, ""cleaned_version"": 1, ""sentence"": ""The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here\nDepth-Oblivious Fair-Share Formula\nThe main formula for calculating the fair-share factor of an account is:\n F = 2^(-R)\nwhere:\nF\nis the fair-share factor\nR\nis the effective usage ratio of the account\nThis formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root).""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 8, ""cleaned_version"": 1, ""sentence"": ""To understand the formula for k, it is useful to first make a few observations about the formula for R. On the one hand, if k equals 1, the above formula gives R = Rparent * rl. For a second-level account, by plugging in the formula for rl, this leads to R = r * Uparent/Uall_siblings.""}, {""doc_id"": ""doc_0117"", ""sent_idx"": 11, ""cleaned_version"": 1, ""sentence"": ""k = (1/(1+(5*ln(Rparent))^2)) if ln(Rparent)*ln(rl) <= 0\n k = 1 if ln(Rparent)*ln(rl) >= 0\nThis formula is chosen to ensure that, if the usage of the ancestors of an account is on target, the fair-share factor of the account mainly depends on its own usage.""}, {""doc_id"": ""doc_ac8b"", ""sent_idx"": 17, ""cleaned_version"": 1, ""sentence"": ""TRES_factor_<type>,\n ...)\n - nice_factor\nAll of the factors in this formula are floating point numbers that range from 0.0 to 1.0.""}, {""doc_id"": ""doc_c721"", ""sent_idx"": 32, ""cleaned_version"": 1, ""sentence"": ""The actual formula used is a refinement of the formula presented above:\n F = 2**(-UE/S)""}]",0,formula,1,1,mistralai/Mistral-7B-Instruct-v0.3,,{}
