edge_id,head_lemma,relation_label,tail_lemma,head_term,tail_term,relation_type,doc_id,chunk_id,confidence,evidence_json,raw_json
1,nvidia-container-runtime,uses_option,--root,nvidia-container-runtime,--root,command_option,doc_0ac6,doc_0ac6_chunk_0005,0.9,"{""head"": ""nvidia-container-runtime"", ""tail"": ""--root"", ""relation"": ""uses_option"", ""relation_type"": ""command_option"", ""confidence"": 0.9, ""reason"": ""The documentation provides examples of using the --root option with nvidia-container-runtime."", ""raw_item"": {""head"": ""nvidia-container-runtime"", ""relation"": ""uses_option"", ""tail"": ""--root"", ""relation_type"": ""command_option"", ""confidence"": 0.9, ""reason"": ""The documentation provides examples of using the --root option with nvidia-container-runtime.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""nvidia-container-runtime"",
      ""relation"": ""uses_option"",
      ""tail"": ""--root"",
      ""relation_type"": ""command_option"",
      ""confidence"": 0.9,
      ""reason"": ""The documentation provides examples of using the --root option with nvidia-container-runtime.""
    },
    {
      ""head"": ""oci.conf"",
      ""relation"": ""uses_option"",
      ""tail"": ""EnvExclude"",
      ""relation_type"": ""config_param_behavior"",
      ""confidence"": 0.9,
      ""reason"": ""The documentation provides examples of using the EnvExclude option in oci.conf files.""
    }
  ]
}"
2,slurm,provides,rest api,Slurm,REST API,scheduler_component,doc_0e42,doc_0e42_chunk_0001,0.9,"{""head"": ""slurm"", ""tail"": ""rest api"", ""relation"": ""provides"", ""relation_type"": ""scheduler_component"", ""confidence"": 0.9, ""reason"": ""Slurm is described as providing a REST API through the slurmrestd daemon."", ""raw_item"": {""head"": ""slurm"", ""relation"": ""provides"", ""tail"": ""REST API"", ""relation_type"": ""scheduler_component"", ""confidence"": 0.9, ""reason"": ""Slurm is described as providing a REST API through the slurmrestd daemon.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""slurm"",
      ""relation"": ""provides"",
      ""tail"": ""REST API"",
      ""relation_type"": ""scheduler_component"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm is described as providing a REST API through the slurmrestd daemon.""
    }
  ]
}"
3,--cpu-bind,controls,cpu affinity,--cpu-bind,CPU affinity,config_param_behavior,doc_10c5,doc_10c5_chunk_0007,0.9,"{""head"": ""--cpu-bind"", ""tail"": ""cpu affinity"", ""relation"": ""controls"", ""relation_type"": ""config_param_behavior"", ""confidence"": 0.9, ""reason"": ""The documentation states that the --cpu-bind flag is used to set CPU affinity, implying that it controls the behavior of CPU affinity."", ""raw_item"": {""head"": ""--cpu-bind"", ""relation"": ""controls"", ""tail"": ""cpu affinity"", ""relation_type"": ""config_param_behavior"", ""confidence"": 0.9, ""reason"": ""The documentation states that the --cpu-bind flag is used to set CPU affinity, implying that it controls the behavior of CPU affinity.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""--cpu-bind"",
      ""relation"": ""controls"",
      ""tail"": ""cpu affinity"",
      ""relation_type"": ""config_param_behavior"",
      ""confidence"": 0.9,
      ""reason"": ""The documentation states that the --cpu-bind flag is used to set CPU affinity, implying that it controls the behavior of CPU affinity.""
    },
    {
      ""head"": ""core numbering"",
      ""relation"": ""affects"",
      ""tail"": ""task IDs"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.8,
      ""reason"": ""The documentation explains that the core numbering determines the mapping between processors/cores and task IDs.""
    }
  ]
}"
4,allocation,suspends,job step creation,allocation,Job step creation,resource_usage,doc_1988,doc_1988_chunk_0006,0.9,"{""head"": ""allocation"", ""tail"": ""job step creation"", ""relation"": ""suspends"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""The text describes that an allocation can suspend job step creation."", ""raw_item"": {""head"": ""allocation"", ""relation"": ""suspends"", ""tail"": ""job step creation"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""The text describes that an allocation can suspend job step creation.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""allocation"",
      ""relation"": ""suspends"",
      ""tail"": ""job step creation"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that an allocation can suspend job step creation.""
    },
    {
      ""head"": ""gang scheduler"",
      ""relation"": ""controls"",
      ""tail"": ""job step creation"",
      ""relation_type"": ""scheduler_component"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that the gang scheduler controls job step creation.""
    },
    {
      ""head"": ""timeslicer algorithm"",
      ""relation"": ""timeslices"",
      ""tail"": ""jobs"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that the timeslicer algorithm timeslices jobs.""
    }
  ]
}"
5,gang scheduler,controls,job step creation,gang scheduler,Job step creation,scheduler_component,doc_1988,doc_1988_chunk_0006,0.9,"{""head"": ""gang scheduler"", ""tail"": ""job step creation"", ""relation"": ""controls"", ""relation_type"": ""scheduler_component"", ""confidence"": 0.9, ""reason"": ""The text describes that the gang scheduler controls job step creation."", ""raw_item"": {""head"": ""gang scheduler"", ""relation"": ""controls"", ""tail"": ""job step creation"", ""relation_type"": ""scheduler_component"", ""confidence"": 0.9, ""reason"": ""The text describes that the gang scheduler controls job step creation.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""allocation"",
      ""relation"": ""suspends"",
      ""tail"": ""job step creation"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that an allocation can suspend job step creation.""
    },
    {
      ""head"": ""gang scheduler"",
      ""relation"": ""controls"",
      ""tail"": ""job step creation"",
      ""relation_type"": ""scheduler_component"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that the gang scheduler controls job step creation.""
    },
    {
      ""head"": ""timeslicer algorithm"",
      ""relation"": ""timeslices"",
      ""tail"": ""jobs"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The text describes that the timeslicer algorithm timeslices jobs.""
    }
  ]
}"
6,libraries,causes_conflict,package manager,libraries,package manager,resource_usage,doc_2329,doc_2329_chunk_0004,0.9,"{""head"": ""libraries"", ""tail"": ""package manager"", ""relation"": ""causes_conflict"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64, causing a conflict with the package manager."", ""raw_item"": {""head"": ""libraries"", ""relation"": ""causes_conflict"", ""tail"": ""package manager"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64, causing a conflict with the package manager.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""libraries"",
      ""relation"": ""causes_conflict"",
      ""tail"": ""package manager"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64, causing a conflict with the package manager.""
    }
  ]
}"
7,default value,is_associated_with,time,default value,time,config_param_resource,doc_2770,doc_2770_chunk_0007,0.9,"{""head"": ""default value"", ""tail"": ""time"", ""relation"": ""is_associated_with"", ""relation_type"": ""config_param_resource"", ""confidence"": 0.9, ""reason"": ""The default value is associated with the time for which the locks are relinquished."", ""raw_item"": {""head"": ""default value"", ""relation"": ""is_associated_with"", ""tail"": ""time"", ""relation_type"": ""config_param_resource"", ""confidence"": 0.9, ""reason"": ""The default value is associated with the time for which the locks are relinquished.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""default value"",
      ""relation"": ""is_associated_with"",
      ""tail"": ""time"",
      ""relation_type"": ""config_param_resource"",
      ""confidence"": 0.9,
      ""reason"": ""The default value is associated with the time for which the locks are relinquished.""
    },
    {
      ""head"": ""locks"",
      ""relation"": ""has_duration"",
      ""tail"": ""time"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The length of time for which the locks are relinquished is a duration of time associated with the locks.""
    }
  ]
}"
8,locks,has_duration,time,locks,time,resource_usage,doc_2770,doc_2770_chunk_0007,0.9,"{""head"": ""locks"", ""tail"": ""time"", ""relation"": ""has_duration"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""The length of time for which the locks are relinquished is a duration of time associated with the locks."", ""raw_item"": {""head"": ""locks"", ""relation"": ""has_duration"", ""tail"": ""time"", ""relation_type"": ""resource_usage"", ""confidence"": 0.9, ""reason"": ""The length of time for which the locks are relinquished is a duration of time associated with the locks.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""default value"",
      ""relation"": ""is_associated_with"",
      ""tail"": ""time"",
      ""relation_type"": ""config_param_resource"",
      ""confidence"": 0.9,
      ""reason"": ""The default value is associated with the time for which the locks are relinquished.""
    },
    {
      ""head"": ""locks"",
      ""relation"": ""has_duration"",
      ""tail"": ""time"",
      ""relation_type"": ""resource_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The length of time for which the locks are relinquished is a duration of time associated with the locks.""
    }
  ]
}"
9,git,uses_command,command,git,command,command_option,doc_2ec1,doc_2ec1_chunk_0003,0.9,"{""head"": ""git"", ""tail"": ""command"", ""relation"": ""uses_command"", ""relation_type"": ""command_option"", ""confidence"": 0.9, ""reason"": ""The text mentions using a command in the context of git, implying that git uses the command."", ""raw_item"": {""head"": ""git"", ""relation"": ""uses_command"", ""tail"": ""command"", ""relation_type"": ""command_option"", ""confidence"": 0.9, ""reason"": ""The text mentions using a command in the context of git, implying that git uses the command.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""git"",
      ""relation"": ""uses_command"",
      ""tail"": ""command"",
      ""relation_type"": ""command_option"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions using a command in the context of git, implying that git uses the command.""
    }
  ]
}"
10,rest api,provides,cross-version compatibility,REST API,cross-version compatibility,other,doc_3583,doc_3583_chunk_0001,0.8,"{""head"": ""rest api"", ""tail"": ""cross-version compatibility"", ""relation"": ""provides"", ""relation_type"": ""other"", ""confidence"": 0.8, ""reason"": ""Developers are encouraged to target Slurm's REST API for broader cross-version compatibility."", ""raw_item"": {""head"": ""REST API"", ""relation"": ""provides"", ""tail"": ""cross-version compatibility"", ""relation_type"": ""other"", ""confidence"": 0.8, ""reason"": ""Developers are encouraged to target Slurm's REST API for broader cross-version compatibility.""}}","{
  ""is_a_edges"": [],
  ""other_relations"": [
    {
      ""head"": ""slurm commands"",
      ""relation"": ""uses_api"",
      ""tail"": ""APIs"",
      ""relation_type"": ""scheduler_component"",
      ""confidence"": 0.9,
      ""reason"": ""Slurm commands are described as utilizing APIs exposed through slurm.h and slurmdb.h headers.""
    },
    {
      ""head"": ""REST API"",
      ""relation"": ""provides"",
      ""tail"": ""cross-version compatibility"",
      ""relation_type"": ""other"",
      ""confidence"": 0.8,
      ""reason"": ""Developers are encouraged to target Slurm's REST API for broader cross-version compatibility.""
    }
  ]
}"
