id,src_rowid,child,parent,method,src_confidence,src_evidence,llm_child_is_class,llm_parent_is_class,llm_is_a_valid,llm_accept,llm_best_parent,llm_confidence,llm_reason,llm_evidence_sentence,candidates_json,evidence_json,raw_llm_json,created_at
1,1,0x02 job group,job group,seed,0.0,head_match,1,1,1,1,job group,1.0,child and proposed parent are both job groups,,"[""job group"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job group"",
""confidence"": 1.0,
""reason"": ""child and proposed parent are both job groups""
}",2026-01-29T23:21:45Z
2,2,0x02 job group,group,seed,0.0,head_match,1,1,1,1,group,1.0,A job group is a type of group in HPC schedulers.,,"[""group"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""group"",
""confidence"": 1.0,
""reason"": ""A job group is a type of group in HPC schedulers."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
3,3,ability host,host,seed,0.0,head_match,1,1,1,1,host,1.0,host is a superclass of ability host,,"[""host"", ""job"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""host"",
""confidence"": 1.0,
""reason"": ""host is a superclass of ability host"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
4,4,ability queue,queue,seed,0.0,head_match,1,1,1,1,queue,0.95,"ability queue is a type of queue in LSF, so the is-a relation is valid.",Displays a list of LSF multicluster capability queues together with their relationship with queues in remote clusters.,"[""queue"", ""job"", ""host"", ""cluster"", ""resource"", ""group"", ""section"", ""policy"", ""none""]","[""[-w]\nbclusters [-h | -V]\nDescription\nFor the job forwarding model, displays a list of LSF multicluster capability queues together with their relationship with queues in remote clusters."", ""Output: Job forwarding information\nDisplays a list of LSF multicluster capability queues together with their relationship with queues in remote clusters.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""queue"",
""confidence"": 0.95,
""reason"": ""ability queue is a type of queue in LSF, so the is-a relation is valid."",
""evidence_sentence"": ""Displays a list of LSF multicluster capability queues together with their relationship with queues in remote clusters.""
}",2026-01-29T23:21:45Z
5,5,absolute priority scheduling,scheduling,seed,0.0,head_match,1,1,1,1,scheduling,0.95,absolute priority scheduling is a type of scheduling.,You cannot run the bbot command on jobs that are pending in an absolute priority scheduling (APS) queue.,"[""scheduling"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""You cannot run the bbot command on jobs that are pending in an absolute priority scheduling (APS) queue."", ""Changes to pending jobs as a result of the following bmod command options:\nAbsolute priority scheduling (-aps | -apsn)\nAuto-resizable job attribute (-ar | -arn)""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""scheduling"",
""confidence"": 0.95,
""reason"": ""absolute priority scheduling is a type of scheduling."",
""evidence_sentence"": ""You cannot run the bbot command on jobs that are pending in an absolute priority scheduling (APS) queue.""
}",2026-01-29T23:21:45Z
6,6,access control,control,seed,0.0,head_match,1,1,1,1,control,0.98,"Access control is a type of control, and the provided evidence mentions 'control' multiple times.",,"[""control"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]","[""Applying job access control in IBM Spectrum LSF to protect information privacy\nThe LSF access control level (ACL) feature supports different levels of access control in job information queries."", ""Therefore, bjobs -psum presents a summary of only the\nsubmitting user's own pending jobs. If the -u option is speciﬁed for a speciﬁc user, user group, or all users (using the all keyword), pending jobs of the\nspeciﬁc users are summarized. The SECURE_JOB_INFO_LEVEL parameter can deﬁne different access control levels for all users.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""control"",
""confidence"": 0.98,
""reason"": ""Access control is a type of control, and the provided evidence mentions 'control' multiple times.""
}",2026-01-29T23:21:45Z
7,7,access guarantee sla,sla,seed,0.0,head_match,1,1,1,1,sla,1.0,access guarantee sla is a type of SLA,,"[""sla"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""sla"",
""confidence"": 1.0,
""reason"": ""access guarantee sla is a type of SLA"",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
8,8,access job,job,seed,0.0,head_match,1,1,1,1,job,1.0,The child term 'access job' is a type of job.,This setting allows user group administrators to access job information of their own groups.,"[""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]","[""This setting allows user group administrators to access job information of their own groups."", ""Results\nAfter changing the conﬁguration, a users can only see their own job information. They cannot access job information for other users.""]","{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""job"",
""confidence"": 1.0,
""reason"": ""The child term 'access job' is a type of job."",
""evidence_sentence"": ""This setting allows user group administrators to access job information of their own groups.""
}",2026-01-29T23:21:45Z
9,9,access lsf cluster,cluster,seed,0.0,head_match,1,1,1,1,cluster,1.0,"accessing an LSF cluster implies dealing with the cluster as a whole, so the is-a relation is valid.",,"[""cluster"", ""job"", ""host"", ""queue"", ""resource"", ""group"", ""section"", ""policy"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""cluster"",
""confidence"": 1.0,
""reason"": ""accessing an LSF cluster implies dealing with the cluster as a whole, so the is-a relation is valid."",
""evidence_sentence"": """"
}",2026-01-29T23:21:45Z
10,10,access lsf cluster,lsf cluster,seed,0.0,head_match,1,1,1,1,lsf cluster,1.0,The child term 'access lsf cluster' is a valid IS-A relation with the proposed parent term 'lsf cluster'.,,"[""lsf cluster"", ""job"", ""host"", ""cluster"", ""queue"", ""resource"", ""group"", ""section"", ""none""]",[],"{
""child_is_class"": true,
""parent_is_class"": true,
""is_a_valid"": true,
""accept"": true,
""best_parent"": ""lsf cluster"",
""confidence"": 1.0,
""reason"": ""The child term 'access lsf cluster' is a valid IS-A relation with the proposed parent term 'lsf cluster'.""
}",2026-01-29T23:21:45Z
