enrich_id,canonical_term,example_term,example_term_id,scheduler,category,short_definition,is_hpc_domain,freq_total,doc_count,aliases_json,raw_json
1,rparent,Rparent,1,slurm,config_param,Rparent is a configuration parameter in SLURM that determines the fair-share factor of an account based on the usage of its parent account.,1,1,1,[],"{
  ""term"": ""Rparent"",
  ""canonical"": ""rparent"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Rparent is a configuration parameter in SLURM that determines the fair-share factor of an account based on the usage of its parent account."",
  ""aliases"": []
}"
2,slurm.conf,slurm.conf,2,slurm,config_file,slurm.conf is a configuration file for SLURM (Simple Linux Utility for Resource Management) that contains settings for the depth-oblivious flavor of the fair-share factor.,1,136,52,[],"{
  ""term"": ""slurm.conf"",
  ""canonical"": ""slurm.conf"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""short_definition"": ""slurm.conf is a configuration file for SLURM (Simple Linux Utility for Resource Management) that contains settings for the depth-oblivious flavor of the fair-share factor."",
  ""aliases"": []
}"
3,fair-share factor,fair-share factor,3,slurm,config_param,"The fair-share factor is a configuration parameter in SLURM that adjusts a user's job priority based on their resource usage compared to their fair share, as determined by the depth-oblivious flavor of the fair-share policy.",1,5,3,[],"{
  ""term"": ""fair-share factor"",
  ""canonical"": ""fair-share factor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The fair-share factor is a configuration parameter in SLURM that adjusts a user's job priority based on their resource usage compared to their fair share, as determined by the depth-oblivious flavor of the fair-share policy."",
  ""aliases"": []
}"
4,account,account,4,slurm,user_role,An account represents a user or group with specific resource allocation and fair-share settings in the SLURM scheduler.,1,33,17,[],"{
  ""term"": ""account"",
  ""canonical"": ""account"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""short_definition"": ""An account represents a user or group with specific resource allocation and fair-share settings in the SLURM scheduler."",
  ""aliases"": []
}"
5,usage,usage,5,unknown,non_domain,Not an HPC/scheduler-specific term; this is a general English term used in the context of resource utilization.,0,5,4,[],"{
  ""term"": ""usage"",
  ""canonical"": ""usage"",
  ""is_hpc_domain_term"": false,
  ""scheduler"": ""unknown"",
  ""category"": ""non_domain"",
  ""short_definition"": ""Not an HPC/scheduler-specific term; this is a general English term used in the context of resource utilization."",
  ""aliases"": []
}"
6,shares,shares,6,slurm,resource,"In SLURM's fair-share scheduling, shares represent a unit of resource consumption for an account, used to balance job allocation among users.",1,6,5,[],"{
  ""term"": ""shares"",
  ""canonical"": ""shares"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""In SLURM's fair-share scheduling, shares represent a unit of resource consumption for an account, used to balance job allocation among users."",
  ""aliases"": []
}"
7,bonus,bonus,7,slurm,user_role,"A bonus is a factor applied to an account's fair-share in SLURM's depth-oblivious fair-share policy, based on the usage of its ancestors.",1,1,1,[],"{
  ""term"": ""bonus"",
  ""canonical"": ""bonus"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""short_definition"": ""A bonus is a factor applied to an account's fair-share in SLURM's depth-oblivious fair-share policy, based on the usage of its ancestors."",
  ""aliases"": []
}"
8,malus,malus,8,slurm,config_param,"Malus is a configuration parameter in SLURM that adjusts the fair-share factor of an account based on its ancestors' resource usage, penalizing overuse or underuse.",1,1,1,[],"{
  ""term"": ""malus"",
  ""canonical"": ""malus"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Malus is a configuration parameter in SLURM that adjusts the fair-share factor of an account based on its ancestors' resource usage, penalizing overuse or underuse."",
  ""aliases"": []
}"
9,slurm.conf(5),slurm.conf(5),9,slurm,config_file,"slurm.conf(5) is the man page for the SLURM configuration file, which contains parameters for configuring the depth-oblivious flavor of the fair-share factor.",1,3,3,[],"{
  ""term"": ""slurm.conf(5)"",
  ""canonical"": ""slurm.conf(5)"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""short_definition"": ""slurm.conf(5) is the man page for the SLURM configuration file, which contains parameters for configuring the depth-oblivious flavor of the fair-share factor."",
  ""aliases"": []
}"
10,priorityflags,PriorityFlags,10,slurm,config_param,PriorityFlags is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor. Set to 'DEPTH_OBLIVIOUS'.,1,6,4,[],"{
  ""term"": ""PriorityFlags"",
  ""canonical"": ""priorityflags"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""PriorityFlags is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor. Set to 'DEPTH_OBLIVIOUS'."",
  ""aliases"": []
}"
11,depth_oblivious,DEPTH_OBLIVIOUS,11,slurm,config_param,DEPTH_OBLIVIOUS is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor for job scheduling.,1,3,2,[],"{
  ""term"": ""DEPTH_OBLIVIOUS"",
  ""canonical"": ""depth_oblivious"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""DEPTH_OBLIVIOUS is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor for job scheduling."",
  ""aliases"": []
}"
12,prioritytype,PriorityType,12,slurm,config_param,PriorityType is a configuration parameter in SLURM that sets the type of priority calculation for fair-share scheduling.,1,7,5,[],"{
  ""term"": ""PriorityType"",
  ""canonical"": ""prioritytype"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""PriorityType is a configuration parameter in SLURM that sets the type of priority calculation for fair-share scheduling."",
  ""aliases"": []
}"
13,multifactor,multifactor,13,slurm,config_param,Multifactor is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor for job scheduling.,1,3,3,[],"{
  ""term"": ""multifactor"",
  ""canonical"": ""multifactor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Multifactor is a configuration parameter in SLURM that enables the depth-oblivious flavor of the fair-share factor for job scheduling."",
  ""aliases"": []
}"
