id,src_rowid,child,parent,method,src_confidence,src_evidence,llm_child_is_class,llm_parent_is_class,llm_is_a_valid,llm_accept,llm_best_parent,llm_confidence,llm_reason,llm_evidence_sentence,candidates_json,evidence_json,raw_llm_json,created_at
1,1,condition slurm,slurm,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""slurm"", ""lsf"", ""daemon"", ""command"", ""host"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
2,2,configure lsf daemon,daemon,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""daemon"", ""lsf"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
3,3,cpu resource slurm,slurm,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""slurm"", ""lsf"", ""daemon"", ""command"", ""host"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
4,4,group lsf host,host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""host"", ""lsf"", ""daemon"", ""command"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
5,5,group lsf host,lsf host,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf host"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
6,6,ibm spectrum lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,Get an administrator overview of IBM Spectrum LSF how to manage various types of workload and cluster operations.,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]","[""Get an administrator overview of IBM Spectrum LSF how to manage various types of workload and cluster operations."", ""Aug 3 13:45:27 2017 20884 6 3.6.0 LIM is running as IBM Spectrum LSF Standard Edition.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
7,7,interactive job lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
8,8,job abc_real lsf,lsf,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,,"[""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""plugin"", ""none""]",[],"{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
9,9,job queue,queue,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,For jobs submitted to a chunk job queue,"[""queue"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""For jobs submitted to a chunk job queue""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
10,10,large slurm database,database,seed,0.0,head_match,1,1,0,0,none,0.1,LLM parse failed (no valid JSON). Marked reject with best_parent=none.,"innodb_buffer_pool_size: We recommend assigning between 5 and 50 percent of the available memory on the SQL server, and at least 4 GiB. Setting this value too small can cause problems when upgrading large Slurm databases","[""database"", ""lsf"", ""daemon"", ""command"", ""host"", ""slurm"", ""lim"", ""resource"", ""none""]","[""innodb_buffer_pool_size: We recommend assigning between 5 and 50 percent of the available memory on the SQL server, and at least 4 GiB. Setting this value too small can cause problems when upgrading large Slurm databases or when purging old records.""]","{""child_term"": ""slurmctld"", ""parent_term"": ""daemon"", ""candidate_parents"": [""daemon"", ""host"", ""command"", ""plugin"", ""job"", ""queue"", ""none""], ""known_terms"": [""slurmctld"", ""slurmd"", ""daemon"", ""command"", ""plugin""], ""evidence"": [""The slurmctld daemon provides the central management service for SLURM.""]}",2026-01-27T13:23:26Z
