id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
1,doc_4387,doc_4387_sent_00002,Accounting records can be written to a simple text file or a database.,Accounting records,178,accounting record,write to,a simple text file,105,file,openie_spacy,2025-12-17T19:42:11Z
2,doc_4387,doc_4387_sent_00004,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks.",The sacct command,3966,sacct command,report,resource usage,3967,resource usage,openie_spacy,2025-12-17T19:42:11Z
3,doc_4387,doc_4387_sent_00013,"This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead.",this plugin,179,plugin,satisfy with,minimal overhead,234,overhead,openie_spacy,2025-12-17T19:42:11Z
4,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster",the cluster,272,cluster,add to,the database,349,database,openie_spacy,2025-12-17T19:42:11Z
5,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,slurmctld,201,slurmctld,utilize,an internal cache,4001,cache,openie_spacy,2025-12-17T19:42:11Z
6,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,SlurmDBD,182,slurmdbd,return to,service,759,service,openie_spacy,2025-12-17T19:42:11Z
7,doc_4387,doc_4387_sent_00031,The cached data is written by slurmctld to local storage upon shutdown and recovered at startup.,The cached data,353,data,write upon,shutdown,3262,shutdown,openie_spacy,2025-12-17T19:42:11Z
8,doc_4387,doc_4387_sent_00033,Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.,Job,50,job,write to,a cache,4001,cache,openie_spacy,2025-12-17T19:42:11Z
9,doc_4387,doc_4387_sent_00033,Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.,the number,123,number,exceed,the maximum queue size,278,size,openie_spacy,2025-12-17T19:42:11Z
10,doc_4387,doc_4387_sent_00037,"By default only lowercase usernames are supported, but you can configure Parameters=PreserveCaseUser in your slurmdbd.conf to allow usernames with uppercase characters.",only lowercase usernames,4014,username,support by,default,118,default,openie_spacy,2025-12-17T19:42:11Z
11,doc_4387,doc_4387_sent_00039,"Otherwise MUNGE should then be installed on all nodes of all Slurm managed clusters, plus the machine where SlurmDBD executes.",MUNGE,2544,munge,instal on,all nodes,409,node,openie_spacy,2025-12-17T19:42:11Z
12,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,3982,pathname,need in,the Slurm,82,slurm,openie_spacy,2025-12-17T19:42:11Z
13,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,3982,pathname,need in,slurm.conf,1593,slurm.conf,openie_spacy,2025-12-17T19:42:11Z
14,doc_4387,doc_4387_sent_00049,"Both instances of slurmdbd should have access to the same database, share the same munge key(s), and have the same users with the same UID/GIDs.",Both instances,526,instance,have,access,1241,access,openie_spacy,2025-12-17T19:42:11Z
15,doc_4387,doc_4387_sent_00051,"Slurm JobComp Configuration
Presently job completion is not supported with the SlurmDBD, but can be written directly to a database, script or flat file.",job completion,3058,job completion,support with,the SlurmDBD,182,slurmdbd,openie_spacy,2025-12-17T19:42:11Z
16,doc_4387,doc_4387_sent_00057,JobCompPort: Only needed if using a database. The network port that the database accepts communication on.,the database,349,database,accept,communication,150,communication,openie_spacy,2025-12-17T19:42:11Z
17,doc_4387,doc_4387_sent_00061,JobCompParams: Pass arbitrary text string to job completion plugin.,JobCompParams,3074,jobcompparam,pass,arbitrary text string,681,string,openie_spacy,2025-12-17T19:42:11Z
