edge_id,doc_id,chunk_id,child_term,parent_term,justification
1,doc_05b9,doc_05b9_chunk_0006,CSV QOS list,QOS list,"The text refers to CSV QOS list as a specific type of QOS list, as it is a list of QOS values."
2,doc_05b9,doc_05b9_chunk_0006,CSV user list,user list,"The text refers to CSV user list as a specific type of user list, as it is a list of user values."
3,doc_05b9,doc_05b9_chunk_0010,List of associations v0.0.43_openapi_assocs_resp,List of associations,"The text specifies that the API call produces a 'List of associations v0.0.43_openapi_assocs_resp', which is a more specific type of 'List of associations'."
4,doc_05b9,doc_05b9_chunk_0035,DenyQOS,QOS,"DenyQOS is a specific type of QOS, as it is a comma-separated list of Qos which may not execute jobs in the partition."
5,doc_0605,doc_0605_chunk_0003,Elasticsearch plugin,plugin,The text describes the Elasticsearch plugin as a specific type of plugin.
6,doc_0605,doc_0605_chunk_0003,slurm index,index,The text refers to the slurm index as a specific index created by the Elasticsearch plugin.
7,doc_0605,doc_0605_chunk_0003,completed but not yet indexed jobs,jobs,The text describes completed jobs that have not yet been indexed as a specific type of jobs.
8,doc_0ac6,doc_0ac6_chunk_0002,OCI Container bundle,container,"The text specifies that all containers must be OCI containers, implying that the OCI Container bundle is a type of container."
9,doc_0ac6,doc_0ac6_chunk_0002,slurmctld,Slurm,"The text mentions slurmctld as the Slurm controller process, making it a specific form of Slurm."
10,doc_0ac6,doc_0ac6_chunk_0010,Rootless Docker,docker,The text describes Rootless Docker as a specific form of Docker that requires a different root directory and is installed and configured differently.
11,doc_0ac6,doc_0ac6_chunk_0013,Podman REST API,Podman,"The text describes the Podman REST API as a feature of Podman, making it a specific form of Podman."
12,doc_0ac6,doc_0ac6_chunk_0013,rootless Podman,Podman,"The text refers to rootless Podman as a configuration of Podman, so it is a specific form of Podman."
13,doc_0e42,doc_0e42_chunk_0002,slurmrestd group,group,The text describes the slurmrestd group as a specific group created for running the slurmrestd daemon.
14,doc_0e42,doc_0e42_chunk_0002,slurmrestd user,user,The text describes the slurmrestd user as a specific user created for running the slurmrestd daemon.
15,doc_0e42,doc_0e42_chunk_0002,slurmrestd daemon,slurmrestd,The text refers to the slurmrestd daemon as a specific daemon that is run by the slurmrestd user.
16,doc_0e42,doc_0e42_chunk_0005,log output from slurmrestd,log output,"The text mentions checking the log output from slurmrestd, implying that it is a specific type of log output."
17,doc_1988,doc_1988_chunk_0004,timeslicer thread,thread,The text refers to the timeslicer thread as a specific type of thread spawned by the gang scheduler.
18,doc_1988,doc_1988_chunk_0004,partition job queue,job queue,The text describes a separate job queue for each partition within the gang scheduler logic.
19,doc_1988,doc_1988_chunk_0004,active bitmap,bitmap,"The text refers to an 'active bitmap' that is maintained within the gang scheduler logic, which is a specific type of bitmap."
20,doc_1988,doc_1988_chunk_0005,suspended job,job,"The text refers to suspended jobs as jobs that are in a suspended state, making them a specific type of job."
21,doc_1988,doc_1988_chunk_0006,timesliced job,job,"The text describes jobs that are timesliced, meaning they share resources with other jobs, making them a specific type of job."
22,doc_2329,doc_2329_chunk_0006,"srun Command (Slurm, recommended)",srun,"The text describes the srun command as the recommended method and mentions it is supported by Slurm, implying it is a specific implementation of the srun command."
23,doc_2329,doc_2329_chunk_0006,Intel MPI Library,MPI Library,"The text refers to the Intel MPI Library, which is a specific implementation of the Message Passing Interface (MPI) Library."
24,doc_2329,doc_2329_chunk_0007,Slurm's PMI-2 library,library,"The text describes the PMI-2 library as something that can be installed and used within Slurm, making it a specific type of library."
25,doc_2329,doc_2329_chunk_0007,MPICH jobs,job,"The text mentions MPICH jobs can be launched using srun or mpiexec, implying they are a specific type of job."
26,doc_2329,doc_2329_chunk_0008,MPICH with srun and linked with Slurm's PMI-2 libs,MPICH,"The text describes a specific way of building and linking MPICH with Slurm's PMI-2 libraries, making it a particular type of MPICH."
27,doc_2660,doc_2660_chunk_0002,job_desc.selinux_context,job_desc,"The text explicitly states that job_desc.selinux_context is set based on the contents of job_desc.req_context, making it a specific attribute of job_desc."
28,doc_2770,doc_2770_chunk_0002,every running job,running job,"The text refers to every running job, making it a specific instance of a running job."
29,doc_2770,doc_2770_chunk_0002,pending jobs,job,"The text describes pending jobs as jobs that are waiting to be scheduled, which is a specific state of a job."
30,doc_289e,doc_289e_chunk_0001,PreemptType=preempt/qos,PreemptType,"The text explains that when PreemptType is set to preempt/qos, a queued job's QOS will be used to determine preemption eligibility, making PreemptType=preempt/qos a specific type of PreemptType."
31,doc_289e,doc_289e_chunk_0002,OverPartQOS,QOS,"The text describes OverPartQOS as a flag that can be assigned to a job QOS, making it a specific type of QOS."
32,doc_289e,doc_289e_chunk_0003,Relative QOS,QOS,"The text explains that a QOS may be configured to have relative resource limits, making it a specific type of QOS."
33,doc_289e,doc_289e_chunk_0003,Partition QOS with Relative Resource Limits,Partition QOS,"The text describes a Partition QOS with Relative Resource Limits, which is a specific type of Partition QOS that uses relative limits instead of absolute limits."
34,doc_289e,doc_289e_chunk_0004,Relative QOS,QOS,"The text states that when Flags=Relative is added to a QOS, it changes the behavior of the QOS, making Relative QOS a specific type of QOS."
35,doc_289e,doc_289e_chunk_0006,GraceTime Preemption,Preemption,"The text describes GraceTime Preemption as an extension of the preemption grace time, making it a specific type of Preemption."
36,doc_2cc9,doc_2cc9_chunk_0004,Default MPI Type,MPI Type,"The text specifies Default MPI Type as the default MPI type, making it a specific type of MPI Type."
37,doc_2ec1,doc_2ec1_chunk_0001,error message and other log messages,log messages,"The text specifies that error messages and other log messages should not be broken up mid-sentence, which implies they are a specific type of log messages."
38,doc_2ec1,doc_2ec1_chunk_0002,Makefile.am,Makefile,"The text instructs to submit changes to Makefile.am, not Makefile.in, indicating that Makefile.am is a specific type of Makefile."
39,doc_33d3,doc_33d3_chunk_0004,batch step,step,"The text describes a batch step as a type of step created for jobs submitted with sbatch, which implies that it is a specific kind of step."
40,doc_33d3,doc_33d3_chunk_0004,interactive step,step,"The text defines an interactive step as a type of step created for jobs submitted with salloc when LaunchParameters=use_interactive_step is configured, making it a specific kind of step."
41,doc_33d3,doc_33d3_chunk_0004,normal step,step,"The text explains that a job can have multiple normal steps, which are created when srun is called from inside the job, implying that they are a specific kind of step."
42,doc_3740,doc_3740_chunk_0002,Cpus_allowed_list,Cpus_allowed,"The text describes Cpus_allowed_list as a list of CPUs that a job is allowed to use, which is a specific form of Cpus_allowed."
43,doc_3740,doc_3740_chunk_0002,granted job allocation,job allocation,"The text describes granted job allocation as a specific instance of job allocation, which is the allocation given to a job."
44,doc_3740,doc_3740_chunk_0002,specialized cores,cores,The text describes specialized cores as a specific type of cores that have been designated for a particular purpose.
45,doc_3740,doc_3740_chunk_0004,specialized cores,cores,"The text describes specialized cores as a type of core that can be controlled by users, implying that they are a specific kind of core."
46,doc_3bdd,doc_3bdd_chunk_0007,multiple slurmd support,Slurm,"The text describes multiple slurmd support as a feature of Slurm, making it a specific type of Slurm."
47,doc_4387,doc_4387_chunk_0004,SlurmUser,user,The text describes the SlurmUser as a specific user that must have the same name and ID across all clusters for security purposes.
48,doc_4387,doc_4387_chunk_0005,AccountingStorageBackupHost,host,The text explicitly states that AccountingStorageBackupHost is a host specified in slurm.conf.
49,doc_4387,doc_4387_chunk_0005,DbdBackupHost,host,The text explicitly states that DbdBackupHost is a host specified in slurmdbd.conf.
50,doc_4387,doc_4387_chunk_0005,SLurm JobComp Configuration,configuration,"The text refers to SLurm JobComp Configuration as a configuration for job completion, making it a specific form of configuration."
51,doc_4387,doc_4387_chunk_0014,SlurmUser,user,"The text specifies that SlurmUser is the name of the user that the slurmdbd daemon executes as, implying it is a specific type of user."
52,doc_4387,doc_4387_chunk_0016,database storage host,host,"The text refers to 'database storage host' as a specific type of host, as it is the host where the database is stored."
53,doc_48b2,doc_48b2_chunk_0007,my.script,Script,"The text describes my.script as a script submitted for later execution, making it a specific type of Script."
54,doc_4d9f,doc_4d9f_chunk_0004,job array,job,"The text describes job array as a type of job, as it is submitted as a single job record but consists of multiple tasks."
55,doc_50f7,doc_50f7_chunk_0001,Preemption restrictions,Preemption,"The MCS Plugin restricts the operation of Preemption, making Preemption restrictions a specific type of Preemption."
56,doc_5755,doc_5755_chunk_0009,Slurm job,Job,"The text explains that a Slurm job is a resource allocation, which is a specific type of job."
57,doc_5755,doc_5755_chunk_0014,command to execute,command,"The text describes the command to execute as the part that is run after the srun command, making it a specific type of command."
58,doc_5755,doc_5755_chunk_0014,job or job step,job,"The text refers to 'job or job step', indicating that it is a specific type of job."
59,doc_5755,doc_5755_chunk_0015,Slurm job allocation created by srun,Slurm job allocation,"The text describes that srun command creates a Slurm job allocation when run outside an existing allocation, making it a specific type of Slurm job allocation."
60,doc_5755,doc_5755_chunk_0015,Output of srun command,Output,"The text states that the output of the application is seen as output of the srun command, implying that it is a specific type of output."
