name,type,csv_file,rows_exported
axioms_llm_predicates,table,table__axioms_llm_predicates.csv,0
axioms_llm_runs,table,table__axioms_llm_runs.csv,0
cleaned_documents,table,table__cleaned_documents.csv,4
contextual_chunk,table,table__contextual_chunk.csv,116
llm_enrich_final,table,table__llm_enrich_final.csv,375
llm_is_a_edges_final,table,table__llm_is_a_edges_final.csv,11
llm_is_a_runs,table,table__llm_is_a_runs.csv,116
llm_term_runs,table,table__llm_term_runs.csv,116
llm_terms_final,table,table__llm_terms_final.csv,1286
non_tax_llm,table,table__non_tax_llm.csv,21
non_tax_llm_runs,table,table__non_tax_llm_runs.csv,116
raw_documents,table,table__raw_documents.csv,4
sentence_lemmatized,table,table__sentence_lemmatized.csv,1218
sentence_segmented,table,table__sentence_segmented.csv,1218
