sentence_id,doc_id,sent_idx,sentence,start_char,end_char,length,cleaned_version,created_at
doc_7ceb_sent_00001,doc_7ceb,1,Get an administrator overview of IBM Spectrum LSF how to manage various types of workload and cluster operations.,0,114,113,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00002,doc_7ceb,2,"LSF cluster overview
 Get an overview of your cluster and the location of important LSF directories and conﬁguration ﬁles.",114,237,122,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00003,doc_7ceb,3,"Work with LSF
 Start and stop LSF daemons, and reconﬁgure cluster properties. Check LSF status and submit LSF jobs.",237,353,115,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00004,doc_7ceb,4,"Troubleshooting LSF problems
 Troubleshoot common LSF problems and understand LSF error messages.",353,450,97,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00005,doc_7ceb,5,"If you cannot ﬁnd a solution to your problem here, contact IBM
Support.",451,523,71,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00006,doc_7ceb,6,"LSF cluster overview
Get an overview of your cluster and the location of important LSF directories and conﬁguration ﬁles.",523,645,121,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00007,doc_7ceb,7,"LSF terms and concepts
 Learn LSF basic terms and concepts that will help when using LSF.",645,735,89,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00008,doc_7ceb,8,"Cluster characteristics
 Find the name of your cluster after installation, cluster administrators, and where hosts are deﬁned.",735,862,126,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00009,doc_7ceb,9,"File systems, directories, and ﬁles
 LSF is designed for networks where all hosts have shared ﬁle systems, and ﬁles have the same names on all hosts.",862,1012,149,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00010,doc_7ceb,10,"Important directories and conﬁguration ﬁles
 LSF conﬁguration is administered through several conﬁguration ﬁles, which you use to modify the behavior of your cluster.",1012,1179,166,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00011,doc_7ceb,11,"LSF terms and concepts
Learn LSF basic terms and concepts that will help when using LSF.",1179,1268,88,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00012,doc_7ceb,12,"Job states
IBM® Spectrum LSF jobs have several states.",1268,1323,54,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00013,doc_7ceb,13,"PEND
Waiting in a queue for scheduling and dispatch.",1323,1376,52,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00014,doc_7ceb,14,"RUN
Dispatched to a host and running.
DONE
Finished normally with zero exit value.",1376,1459,82,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00015,doc_7ceb,15,"EXIT
Finished with nonzero exit value.",1459,1498,38,1,2026-01-26T12:31:03Z
doc_7ceb_sent_00016,doc_7ceb,16,"PSUSP
Suspended while the job is pending.",1498,1540,41,1,2026-01-26T12:31:03Z
