id,source_edge_id,sentence_text,subj_canonical_term,rel_key,obj_canonical_term,decision,confidence,reason,model_name,created_at
1,1,"Getting started
Release notes
Quick start guide
LSF user foundations
Installing and upgrading LSF
Videos in the IBM Spectrum LSF User Group library
Product legal notices
Working with jobs
Running jobs
Monitoring jobs
Controlling jobs
Managing your cluster
LSF administrator foundations
Administering LSF
LSF reference
Troubleshooting and support
../lsf_release_notes/lsf_relnotes_sysreq.html#concept_n5r_2bc_ww
Troubleshooting LSF problems
Error and event logging
Fixed bug lists - IBM Spectrum LSF",quick,start,guide,ACCEPT,0.9,The quick start guide is a common documentation type that implies a start relation between the quick and the guide entities.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
2,2,"Release notes for IBM Spectrum LSF Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations,
known problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum
Computing products.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to find out about the detailed changes in the HPC scheduler, so the relation'read' between 'detailed change' and 'document' is valid.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
3,3,"Release notes for IBM Spectrum LSF License Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF License Scheduler Version 10.1. Learn about the detailed changes, known
issues and limitations in the current release.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to learn about the detailed changes, implying a reading relationship between the detailed change and the document.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
4,4,"Release notes for IBM Spectrum LSF Session Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Session Scheduler Version 10.1.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to find out about the changes, indicating a read relation between 'detailed change' and 'document'.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
5,5,"Release notes for IBM Spectrum LSF Version 10.1
Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations, known
problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum Computing products.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document should be read to find out about the changes in the software, indicating a read relation between the detailed change and the document.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
6,6,"Getting ﬁxes from IBM Fix Central
 After you install or upgrade LSF, use IBM Fix Central to ﬁnd and download the ﬁxes that are recommended by IBM Support for LSF products.",fix central,get_from,ibm,ACCEPT,1.0,The sentence explicitly states that 'Getting ﬁxes from IBM Fix Central' for 'LSF'.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
7,7,This Fix Pack applies only to IBM POWER9 platforms.,fix pack,apply_to,ibm power9 platform,ACCEPT,1.0,The sentence explicitly states that the fix pack applies to IBM POWER9 platforms.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
8,8,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",lsf,set_in,fix pack,ACCEPT,0.9,"The sentence states that LSF sets the cpu.shares and cpu.weight values in Fix Pack 15, indicating a causal relationship between LSF and Fix Pack 15, and Fix Pack 15 and the setting of the cpu.shares and cpu.weight values. The triple expresses this relationship.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
9,9,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",job,use_on,host,ACCEPT,0.9,"The sentence states that LSF sets the cpu.shares and cpu.weight values based on the number of cores the job will be using on the host, implying a use_on relation between jobs and hosts.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
10,10,The service class deﬁned exists on forwarded cluster.,service class,exist_on,forwarded cluster,ACCEPT,1.0,The sentence explicitly states that the service class exists on the forwarded cluster.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T16:30:43+00:00
