edge_id,doc_id,chunk_id,subject,predicate,object,relation_type,justification,raw_json
1,doc_4387,doc_4387_chunk_0007,innodb_buffer_pool_size,provisioned_by,available memory,provision,The text states that innodb_buffer_pool_size should be set between 5 and 50 percent of the available memory on the SQL server.,"{
  ""relations"": [
    {
      ""subject"": ""innodb_buffer_pool_size"",
      ""predicate"": ""provisioned_by"",
      ""object"": ""available memory"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that innodb_buffer_pool_size should be set between 5 and 50 percent of the available memory on the SQL server.""
    }
  ]
}"
2,doc_4387,doc_4387_chunk_0010,wckey,configured_via,wckeys,configuration,The text states that wckeys is a Slurm configuration parameter that prevents users from running jobs under a wckey they don't have access to.,"{
  ""relations"": [
    {
      ""subject"": ""wckey"",
      ""predicate"": ""configured_via"",
      ""object"": ""wckeys"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that wckeys is a Slurm configuration parameter that prevents users from running jobs under a wckey they don't have access to.""
    }
  ]
}"
3,doc_4387,doc_4387_chunk_0011,TrackWCKey,configured_via,AccountingStoragePort,configuration,The text states that TrackWCKey is configured via AccountingStoragePort.,"{
  ""relations"": [
    {
      ""subject"": ""TrackWCKey"",
      ""predicate"": ""configured_via"",
      ""object"": ""AccountingStoragePort"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that TrackWCKey is configured via AccountingStoragePort.""
    }
  ]
}"
4,doc_4387,doc_4387_chunk_0021,brian,has_default_account,DefaultAccount,configuration,"The text states that user da would be allowed to run in account test and any other accounts added in the future, implying that 'DefaultAccount' is the default account for user brian.","{
  ""relations"": [
    {
      ""subject"": ""brian"",
      ""predicate"": ""has_default_account"",
      ""object"": ""DefaultAccount"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that user da would be allowed to run in account test and any other accounts added in the future, implying that 'DefaultAccount' is the default account for user brian.""
    },
    {
      ""subject"": ""Account"",
      ""predicate"": ""is_parent_of"",
      ""object"": ""physical sciences"",
      ""relation_type"": ""part_of"",
      ""justification"": ""The text shows the creation of an account 'chemistry,physics' with 'parent=science', indicating that 'physical sciences' is a child of 'Account'.""
    }
  ]
}"
5,doc_4387,doc_4387_chunk_0022,options,used_by,modify,usage,The text mentions that options are available when modifying a user with the 'modify' command.,"{
  ""relations"": [
    {
      ""subject"": ""options"",
      ""predicate"": ""used_by"",
      ""object"": ""modify"",
      ""relation_type"": ""usage"",
      ""justification"": ""The text mentions that options are available when modifying a user with the 'modify' command.""
    },
    {
      ""subject"": ""entity"",
      ""predicate"": ""managed_by"",
      ""object"": ""sacctmgr"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text states that sacctmgr is used to manage entities in the accounting database.""
    },
    {
      ""subject"": ""Partition"",
      ""predicate"": ""applies_to"",
      ""object"": ""association"",
      ""relation_type"": ""part_of"",
      ""justification"": ""The text mentions that the Partition association applies to.""
    }
  ]
}"
6,doc_7ceb,doc_7ceb_chunk_0015,LSF_TOP,contains,cshrc.lsf,data_flow,The text states that cshrc.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.,"{
  ""relations"": [
    {
      ""subject"": ""LSF_TOP"",
      ""predicate"": ""contains"",
      ""object"": ""cshrc.lsf"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text states that cshrc.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.""
    },
    {
      ""subject"": ""LSF_TOP"",
      ""predicate"": ""contains"",
      ""object"": ""profile.lsf"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text states that profile.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.""
    }
  ]
}"
7,doc_7ceb,doc_7ceb_chunk_0015,LSF_TOP,contains,profile.lsf,data_flow,The text states that profile.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.,"{
  ""relations"": [
    {
      ""subject"": ""LSF_TOP"",
      ""predicate"": ""contains"",
      ""object"": ""cshrc.lsf"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text states that cshrc.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.""
    },
    {
      ""subject"": ""LSF_TOP"",
      ""predicate"": ""contains"",
      ""object"": ""profile.lsf"",
      ""relation_type"": ""data_flow"",
      ""justification"": ""The text states that profile.lsf is created during installation by the lsfinstall command in the LSF_TOP directory.""
    }
  ]
}"
8,doc_7ceb,doc_7ceb_chunk_0025,FROM_HOST,provides_configuration_to,JOBID,configuration,"The text states that FROM_HOST is a field in the bjobs command output, which shows the host where the job was submitted.","{
  ""relations"": [
    {
      ""subject"": ""FROM_HOST"",
      ""predicate"": ""provides_configuration_to"",
      ""object"": ""JOBID"",
      ""relation_type"": ""configuration"",
      ""justification"": ""The text states that FROM_HOST is a field in the bjobs command output, which shows the host where the job was submitted.""
    }
  ]
}"
9,doc_7ceb,doc_7ceb_chunk_0026,Job,uses_resource,sleep,usage,"The text explicitly states that the sleep command is used to suspend a running job, which is a Job.","{
  ""relations"": [
    {
      ""subject"": ""Job"",
      ""predicate"": ""runs_on"",
      ""object"": ""hostb"",
      ""relation_type"": ""execution"",
      ""justification"": ""The text states that jobs are run on host resources managed by LSF, and it mentions hostb specifically.""
    },
    {
      ""subject"": ""Job"",
      ""predicate"": ""uses_resource"",
      ""object"": ""sleep"",
      ""relation_type"": ""usage"",
      ""justification"": ""The text explicitly states that the sleep command is used to suspend a running job, which is a Job.""
    }
  ]
}"
10,doc_7ceb,doc_7ceb_chunk_0027,hostc,provides_configuration_to,rusage,provision,"The text mentions that the command ran through LSF on the local host, and the command (lsrun) can find the necessary resources and the appropriate host type, implying that hosts like hostc provide the configuration for rusage.","{
  ""relations"": [
    {
      ""subject"": ""hostc"",
      ""predicate"": ""provides_configuration_to"",
      ""object"": ""rusage"",
      ""relation_type"": ""provision"",
      ""justification"": ""The text mentions that the command ran through LSF on the local host, and the command (lsrun) can find the necessary resources and the appropriate host type, implying that hosts like hostc provide the configuration for rusage.""
    }
  ]
}"
