id,doc_id,seed_chunk_ids_json,cq_text,source,cq_type,flags_json,anchors_json,model_id,raw_completion,auto_score_0_10,bad_internal,has_cmd,has_cfg,has_daemon,has_domain,generic_flag,starter,starter_cls,bucket,mappable
811,doc_d9be,"[""doc_d9be_chunk_0005"", ""doc_d9be_chunk_0004"", ""doc_d9be_chunk_0011"", ""doc_d9be_chunk_0010""]",Which option in SLURM's `srun/salloc/sbatch` command line controls the maximum number of tasks that a job step can spawn on a single node?,llm,relationship,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""/salloc/sbatch"", ""node"", ""srun/salloc/sbatch"", ""--distribution"", ""--oversubscribe"", ""--ntasks"", ""--nodes"", ""--overcommit"", ""tasks""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does the `--distribution` option affect the sequence of task distribution on a node with SLURM?
- How does the `--ntasks-per-core` option control the maximum CPU usage per task on a node with SLURM?
- How does the `SelectType` parameter in the partition definition affect the allocation of CPU resources to jobs in SLURM?
- Why is the `MaxTasksPerNode` parameter important in controlling the number of tasks a job step can spawn on a single node with SLURM?
- Why does SLURM allow job steps to oversubscribe CPUs on a node with the `OverSubscribe=YES` option in the partition definition and the `--oversubscribe` srun option?
- Which options control the distribution of tasks to nodes in SLURM's `srun/salloc/sbatch` command line?
- Which option in SLURM's `srun/salloc/sbatch` command line controls the maximum number of tasks that a job step can spawn on a single node?
- What happens if a task requires more CPUs than allocated on a node in SLURM?
- What happens if a job tries to spawn more tasks than the `MaxTasksPerNode` limit in SLURM?
- When is the `--overcommit` option useful in SLURM?
- How does the `--nodes` option in SLURM's `srun` command restrict jobs to specific",10,False,True,False,False,True,False,which,which,resources,True
54,doc_0ac6,"[""doc_0ac6_chunk_0008"", ""doc_0ac6_chunk_0014"", ""doc_0ac6_chunk_0006"", ""doc_0ac6_chunk_0011""]",How does the '--wrap' argument in sbatch command work when requesting a container job?,llm,constraint,"{""generic"": false, ""has_anchor"": true}","[""oci.conf"", ""sbatch"", ""--container"", ""scrun.lua"", ""storage.conf"", ""slurm.conf"", ""salloc"", ""srun"", ""--wrap"", ""/etc/containers/storage.confTo""]",mistralai/Mistral-7B-Instruct-v0.3,"1. How does SLURM execute container jobs or steps using the '--container' argument in salloc, srun, and sbatch commands?
2. How does the '--wrap' argument in sbatch command work when requesting a container job?
3. How should the example provided for container storage be modified to match available local storage in most environments?
4. Why is it strongly suggested to use inter-node shared filesystems to store Podman's containers instead of using a scrun.lua script for image management?
5. Why is it necessary to have oci.conf present on any node where any container job may be run in SLURM?
6. Which configuration file should be used to configure the storage settings for all users in a SLURM environment?
7. Which configuration file should be used to configure the storage settings for a single user in a SLURM environment?
8. What happens if the vfs storage driver is not configured in the storage.conf file for SLURM container storage?
9. What happens if the AuthType is not set to 'auth/mungescrun.lua' in the site storage configuration of slurm.conf for Docker containers in SLURM?
10. When should the scrun.lua script be present on any node where scrun may be run in a SLURM environment?
11. How does the oci.conf file for hpcng Singularity v3.8.0 handle SLURM",9,False,True,True,False,True,False,how,how,submission,True
253,doc_3740,"[""doc_3740_chunk_0001"", ""doc_3740_chunk_0002"", ""doc_3740_chunk_0003"", ""doc_3740_chunk_0004""]","How does the `-S` or `--core-spec` option work in SLURM job allocation commands (`salloc`, `sbatch`, and `srun`)?",llm,relationship,"{""generic"": false, ""has_anchor"": true}","[""--core-spec"", ""Core"", ""cores"", ""srun"", ""sacct"", ""count"", ""specialized"", ""salloc"", ""sbatch"", ""numbered""]",mistralai/Mistral-7B-Instruct-v0.3,"1. How can a user reserve a specific number of cores for system overhead on each allocated compute node using SLURM?
2. How does SLURM isolate system overhead to designated cores on a compute node using core specialization?
3. How does the `-S` or `--core-spec` option work in SLURM job allocation commands (`salloc`, `sbatch`, and `srun`)?
4. Why is it important that the job's allocated CPU count never includes specialized cores or threads in SLURM?
5. Why does setting `AllowSpecResourcesUsage=yes` allow a job to use specialized cores in SLURM?
6. Which cores are set as specialized in the example configuration provided in the document?
7. Which command is used to submit a job requesting a core spec count in SLURM?
8. What happens if a user submits a job with a core spec count that exceeds the number of available specialized cores in SLURM?
9. What happens if a user submits a job without setting the `AllowSpecResourcesUsage` parameter to 1 in SLURM?
10. When does SLURM clear a job's core specialization option?
11. How does SLURM select the first core for core specialization when `SchedulerParameters=spec_cores_first` is configured?
12. How does SLURM select subsequent cores for core specialization when",9,False,True,True,False,True,False,how,how,submission,True
287,doc_385e,"[""doc_385e_chunk_0005"", ""doc_385e_chunk_0003"", ""doc_385e_chunk_0004"", ""doc_385e_chunk_0006""]",How does SLURM handle a job with `srun -N 5 -n 5 --mem=1000 sleep 100` when another job `srun -n 1 -w hydra12 --mem=2000 sleep 100` is queued and waiting for resources?,llm,procedure,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""--mem"", ""slurm.conf"", ""sleep"", ""/cons_tres"", ""resources"", ""/linear"", ""Plugin"", ""for"", ""allNodes""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does SLURM handle a job with `srun -N 5 -n 5 --mem=1000 sleep 100` when another job `srun -n 1 -w hydra12 --mem=2000 sleep 100` is queued and waiting for resources?
- How does SLURM handle a job with `srun -N 5 -n 10 --mem=10 sleep 100` when another job `srun -n 1 --mem=10 sleep 100` is queued and waiting for resources in a queue?
- How does SLURM determine the number of nodes for a job when `srun`'s `-B` extension for sockets, cores, and threads is ignored within the node allocation mechanism?
- Why is the RealMemory parameter necessary in the slurm.conf file when Memory is a consumable resource?
- Why is the select/cons_tres plugin enabled or disabled cluster-wide in SLURM?
- Which plugin does SLURM use by default for node allocation, and how does it differ from the select/cons_tres plugin?
- Which plugin allows jobs to be co-scheduled on nodes when resources permit it, and can generic resources (such as GPUs) be tracked individually with this plugin?
- What happens if a job with `srun -n 1 -w hydra12 --mem=200",9,False,True,True,False,True,False,how,how,resources,True
288,doc_385e,"[""doc_385e_chunk_0005"", ""doc_385e_chunk_0003"", ""doc_385e_chunk_0004"", ""doc_385e_chunk_0006""]",How does SLURM handle a job with `srun -N 5 -n 10 --mem=10 sleep 100` when another job `srun -n 1 --mem=10 sleep 100` is queued and waiting for resources in a queue?,llm,constraint,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""--mem"", ""slurm.conf"", ""sleep"", ""/cons_tres"", ""resources"", ""/linear"", ""Plugin"", ""for"", ""allNodes""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does SLURM handle a job with `srun -N 5 -n 5 --mem=1000 sleep 100` when another job `srun -n 1 -w hydra12 --mem=2000 sleep 100` is queued and waiting for resources?
- How does SLURM handle a job with `srun -N 5 -n 10 --mem=10 sleep 100` when another job `srun -n 1 --mem=10 sleep 100` is queued and waiting for resources in a queue?
- How does SLURM determine the number of nodes for a job when `srun`'s `-B` extension for sockets, cores, and threads is ignored within the node allocation mechanism?
- Why is the RealMemory parameter necessary in the slurm.conf file when Memory is a consumable resource?
- Why is the select/cons_tres plugin enabled or disabled cluster-wide in SLURM?
- Which plugin does SLURM use by default for node allocation, and how does it differ from the select/cons_tres plugin?
- Which plugin allows jobs to be co-scheduled on nodes when resources permit it, and can generic resources (such as GPUs) be tracked individually with this plugin?
- What happens if a job with `srun -n 1 -w hydra12 --mem=200",9,False,True,True,False,True,False,how,how,scheduling,True
294,doc_385e,"[""doc_385e_chunk_0005"", ""doc_385e_chunk_0003"", ""doc_385e_chunk_0004"", ""doc_385e_chunk_0006""]",What happens if a job with `srun -n 1 -w hydra12 --mem=200?,llm,verification,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""--mem"", ""slurm.conf"", ""sleep"", ""/cons_tres"", ""resources"", ""/linear"", ""Plugin"", ""for"", ""allNodes""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does SLURM handle a job with `srun -N 5 -n 5 --mem=1000 sleep 100` when another job `srun -n 1 -w hydra12 --mem=2000 sleep 100` is queued and waiting for resources?
- How does SLURM handle a job with `srun -N 5 -n 10 --mem=10 sleep 100` when another job `srun -n 1 --mem=10 sleep 100` is queued and waiting for resources in a queue?
- How does SLURM determine the number of nodes for a job when `srun`'s `-B` extension for sockets, cores, and threads is ignored within the node allocation mechanism?
- Why is the RealMemory parameter necessary in the slurm.conf file when Memory is a consumable resource?
- Why is the select/cons_tres plugin enabled or disabled cluster-wide in SLURM?
- Which plugin does SLURM use by default for node allocation, and how does it differ from the select/cons_tres plugin?
- Which plugin allows jobs to be co-scheduled on nodes when resources permit it, and can generic resources (such as GPUs) be tracked individually with this plugin?
- What happens if a job with `srun -n 1 -w hydra12 --mem=200",9,False,True,True,False,True,False,what_if,what_if,resources,True
428,doc_5d35,"[""doc_5d35_chunk_0008"", ""doc_5d35_chunk_0009"", ""doc_5d35_chunk_0002"", ""doc_5d35_chunk_0006""]",How does the --het-group option in srun affect the creation of job steps for a heterogeneous job?,llm,constraint,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""--het-group"", ""--jobid"", ""salloc"", ""het-group"", ""sbatch"", ""--cluster"", ""--bcast"", ""components"", ""printenv""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does SLURM handle resource contention when multiple srun commands are executed concurrently?
- How does the --het-group option in srun affect the creation of job steps for a heterogeneous job?
- How does SLURM differentiate between job steps for different components of a heterogeneous job when multiple srun commands execute at the same time?
- Why are Slurm environment variables crucial for the proper operation of various MPI implementations?
- Why does SLURM assign different job IDs for each heterogeneous group within a job?
- Which environment variables are set when a job is allocated resources using salloc?
- Which nodes are allocated to each heterogeneous group in a job, as shown in EXCERPT B?
- What happens if a heterogeneous job is submitted to run on multiple clusters not part of a federation?
- What happens if a request to operate on an individual component of a heterogeneous job is made?
- How does the sbcast command copy files to individual components of a heterogeneous job allocation?
- How does the --bcast option in srun transfer files to the nodes associated with an application to be launched?
- How does the --het-group option in srun define which component(s) should launch an application for an individual execution of the srun command?",9,False,True,True,False,True,False,how,how,submission,True
809,doc_d9be,"[""doc_d9be_chunk_0005"", ""doc_d9be_chunk_0004"", ""doc_d9be_chunk_0011"", ""doc_d9be_chunk_0010""]",Why does SLURM allow job steps to oversubscribe CPUs on a node with the `OverSubscribe=YES` option in the partition definition and the `--oversubscribe` srun option?,llm,procedure,"{""generic"": false, ""has_anchor"": true}","[""srun"", ""/salloc/sbatch"", ""node"", ""srun/salloc/sbatch"", ""--distribution"", ""--oversubscribe"", ""--ntasks"", ""--nodes"", ""--overcommit"", ""tasks""]",mistralai/Mistral-7B-Instruct-v0.3,"- How does the `--distribution` option affect the sequence of task distribution on a node with SLURM?
- How does the `--ntasks-per-core` option control the maximum CPU usage per task on a node with SLURM?
- How does the `SelectType` parameter in the partition definition affect the allocation of CPU resources to jobs in SLURM?
- Why is the `MaxTasksPerNode` parameter important in controlling the number of tasks a job step can spawn on a single node with SLURM?
- Why does SLURM allow job steps to oversubscribe CPUs on a node with the `OverSubscribe=YES` option in the partition definition and the `--oversubscribe` srun option?
- Which options control the distribution of tasks to nodes in SLURM's `srun/salloc/sbatch` command line?
- Which option in SLURM's `srun/salloc/sbatch` command line controls the maximum number of tasks that a job step can spawn on a single node?
- What happens if a task requires more CPUs than allocated on a node in SLURM?
- What happens if a job tries to spawn more tasks than the `MaxTasksPerNode` limit in SLURM?
- When is the `--overcommit` option useful in SLURM?
- How does the `--nodes` option in SLURM's `srun` command restrict jobs to specific",9,False,True,True,False,True,False,why,why,scheduling,True
930,doc_edd8,"[""doc_edd8_chunk_0002"", ""doc_edd8_chunk_0001""]",When is the srun --cpu-bind option priority higher than the node's configured CpuBind value?,llm,constraint,"{""generic"": false, ""has_anchor"": true}","[""slurm.conf"", ""scontrol"", ""knl.conf"", ""srun"", ""CpuBind"", ""configured"", ""--cpu-bind"", ""node"", ""binding"", ""NUMA""]",mistralai/Mistral-7B-Instruct-v0.3,"1. How is the node's CpuBind value configured in the slurm.conf file?
2. How can the node's CpuBind value be viewed or modified using the scontrol command?
3. How can a node's CpuBind value be cleared using the scontrol command?
4. Why is the node_features plugin used to support booting Intel KNL nodes into different NUMA and/or MCDRAM modes?
5. Why can the plugin modify the node's CpuBind option based upon the NUMA mode?
6. Which configuration file is used to specify the NumaCpuBind parameter for the node_features plugin?
7. Which command changes the PartitionName's CpuBind value to 'cores'?
8. What happens if the NUMA mode is not specified in the knl.conf configuration file for the NumaCpuBind parameter?
9. What happens if every node has a different CpuBind value in the slurm.conf file?
10. When is the srun --cpu-bind option priority higher than the node's configured CpuBind value?
11. How can tasks be bound to individual threads, cores, sockets, NUMA or boards using Slurm?
12. How can the default binding configuration be configured on a per-node, per-partition or global basis in Slurm?",9,False,True,True,False,True,False,when,when,scheduling,True
657,doc_9964,"[""doc_9964_chunk_0001"", ""doc_9964_chunk_0002""]",How can you track the value of a job's WCKey in both the slurm.conf and slurmdbd.conf files?,llm,relationship,"{""generic"": false, ""has_anchor"": true}","[""sacctmgr"", ""slurm.conf"", ""slurmdbd.conf"", ""sacct"", ""sreport"", ""WCKey"", ""--wckeys"", ""WCKeys"", ""you"", ""can""]",mistralai/Mistral-7B-Instruct-v0.3,"1. How can you enforce WCKeys per job in SLURM using the slurm.conf file?
2. How can you include ""WCKey"" in the AccountingStorageEnforce option in the slurm.conf file?
3. How can you track the value of a job's WCKey in both the slurm.conf and slurmdbd.conf files?
4. Why is it necessary to set the TrackWCKey option in both the slurm.conf and slurmdbd.conf files?
5. Why does including ""WCKey"" in your AccountingStorageEnforce option in the slurm.conf file only allow jobs with valid WCKeys to run?
6. Which command can be used to view a job's WCKey using sacct?
7. Which option can be added to the --format option in sacct to view the WCKey?
8. What happens if you try to run a job without a valid WCKey when AccountingStorageEnforce is set to include ""WCKey"" in the slurm.conf file?
9. What happens if you try to run a job with an invalid WCKey when AccountingStorageEnforce is set to include ""WCKey"" in the slurm.conf file?
10. When should you use the --wckeys= option in sacct?
11. How can you use the --wckeys= option in sacct to only send information about jobs that ran with specific WCKeys",9,False,False,True,True,True,False,how,how,accounting,True
