id,source_edge_id,sentence_text,subj_canonical_term,rel_key,obj_canonical_term,decision,confidence,reason,model_name,created_at
1,1,"Getting started
Release notes
Quick start guide
LSF user foundations
Installing and upgrading LSF
Videos in the IBM Spectrum LSF User Group library
Product legal notices
Working with jobs
Running jobs
Monitoring jobs
Controlling jobs
Managing your cluster
LSF administrator foundations
Administering LSF
LSF reference
Troubleshooting and support
../lsf_release_notes/lsf_relnotes_sysreq.html#concept_n5r_2bc_ww
Troubleshooting LSF problems
Error and event logging
Fixed bug lists - IBM Spectrum LSF",quick,start,guide,ACCEPT,0.9,The quick start guide is a common documentation type that implies a start relation between the quick and the guide.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
2,2,"Release notes for IBM Spectrum LSF Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations,
known problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum
Computing products.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to find out about the detailed changes in the HPC scheduler, so the relation'read' between 'detailed change' and 'document' is valid.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
3,3,"Release notes for IBM Spectrum LSF License Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF License Scheduler Version 10.1. Learn about the detailed changes, known
issues and limitations in the current release.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to learn about the detailed changes, implying a reading relationship between the detailed change and the document.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
4,4,"Release notes for IBM Spectrum LSF Session Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Session Scheduler Version 10.1.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document can be read to find out about the changes, indicating a read relation between 'detailed change' and 'document'.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
5,5,"Release notes for IBM Spectrum LSF Version 10.1
Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations, known
problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum Computing products.",detailed change,read,document,ACCEPT,1.0,"The sentence explicitly states that the document should be read to find out about the changes in the software, indicating a read relation between the detailed change and the document.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
6,6,"Getting ﬁxes from IBM Fix Central
 After you install or upgrade LSF, use IBM Fix Central to ﬁnd and download the ﬁxes that are recommended by IBM Support for LSF products.",fix central,get_from,ibm,ACCEPT,1.0,The sentence explicitly states that 'Getting ﬁxes from IBM Fix Central' for 'LSF'.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
7,7,This Fix Pack applies only to IBM POWER9 platforms.,fix pack,apply_to,ibm power9 platform,ACCEPT,1.0,The sentence explicitly states that the fix pack applies to IBM POWER9 platforms.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
8,8,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",lsf,set_in,fix pack,ACCEPT,0.9,"The sentence states that LSF sets the cpu.shares and cpu.weight values in Fix Pack 15, indicating a causal relationship between LSF and Fix Pack 15, and Fix Pack 15 and the setting of the cpu.shares and cpu.weight values. The triple expresses this relationship.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
9,9,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",job,use_on,host,ACCEPT,0.9,"The sentence states that LSF sets the cpu.shares and cpu.weight values based on the number of cores the job will be using on the host, implying a use_on relation between jobs and hosts.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
10,10,The service class deﬁned exists on forwarded cluster.,service class,exist_on,forwarded cluster,ACCEPT,1.0,The sentence explicitly states that the service class exists on the forwarded cluster.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
11,11,"You can now specify LSF to write output ﬁles to the Docker container ﬁle system; set this by conﬁguring the new container_io() keyword for the
CONTAINER parameter in the lsb.applications ﬁle (for applications), lsb.queues ﬁle (for queues) , or both. If set, you can also specify another
new job_pre_post() keyword, which enables LSF to run the user-level pre-execution and post-execution commands inside your Docker
containers.",lsf,run,execution,ACCEPT,0.8,"The sentence mentions that LSF can run jobs inside Docker containers, which implies a 'run' relation between LSF and the execution of those jobs.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
12,12,"A cluster administrator can
set the new LSB_DOCKER_PASS_ENV parameter to Y in the lsf.conf ﬁle, so that the execution driver (starter, controller, or monitoring) scripts
inherit and use the job submission user's environment.
Forwarded pending and running jobs count towards the deﬁned job array limits in a
multicluster environment
A job array job slot limit is used to specify the maximum number of jobs submitted from a job array that is allowed to run at any one time. If job array
limits are deﬁned in a multicluster environment, forwarded jobs (in pending and running states) are counted towards the deﬁned limit.",cluster administrator,set_to,y,REJECT,0.0,LLM output not valid JSON with required keys,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
13,13,"New RC_GET_HOST_METHOD parameter for the lsb.params ﬁle
When the LSF resource connector is enabled, use the new RC_GET_HOST_METHOD parameter to tell LSF the exact information (public IP
address, or private IP address, or instance name) to be used for host lookup. The RC_GET_HOST_METHOD parameter provides this
information efﬁciently, which helps improve LSF performance.",rc_get_host_method parameter,provide,information,ACCEPT,1.0,"The sentence states that the RC_GET_HOST_METHOD parameter 'provides' information to LSF, which is the meaning of the 'provide' relation.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
14,14,LSF uses the template with the highest priority.,lsf,use,template,ACCEPT,1.0,"The sentence explicitly states that LSF uses a template, and the use relation is appropriate for this scenario.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
15,15,"If LSF cannot choose a template based on priority (priority values are the same in the templates, or a value is not deﬁned and defaults to a
priority of 0), then:
Starting with Fix Pack 15, you can set the new RC_TEMPLATE_BY_RESREQ_ORDER parameter in the lsb.params conﬁguration ﬁle, LSF
looks for a template by an ordered set of resource requirements.",lsf,choose,template,ACCEPT,0.8,The sentence states that LSF chooses a template based on resource requirements when priority is not a deciding factor. This is a valid non-taxonomic relation between LSF and template.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
16,16,"New LSB_RC_EXTERNAL_HOST_ABNORMAL_TIME parameter for the LSF resource
connector to control the time to wait before timing out hosts in an abnormal state
To allow the LSF resource connector to control the number of minutes",lsf resource connector,control,number,REJECT,0.0,LLM output not valid JSON with required keys,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
17,17,"The PROV state shows that a job is requesting a resource (host) from the LSF resource connector
cloud provider, and is waiting for that host to join the LSF cluster.",job,request,resource,ACCEPT,1.0,"The sentence explicitly states that a job is requesting a resource, which aligns with the given triple.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
18,18,"The PROV state shows that a job is requesting a resource (host) from the LSF resource connector
cloud provider, and is waiting for that host to join the LSF cluster.",host,join,lsf cluster,ACCEPT,0.9,"The sentence states that the host is joining the LSF cluster, which is a valid relation for 'join'.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
19,19,"Additionally, the bjobs -l output for a provision job now include a message that
indicates when a request has been sent to cloud provider; for example:
Wed Jan 31 18:43:28: Sent resource connector request for 1*CENTOS-Template-NGVM-1 from provider ibmcloudgen2.",request,send_to,cloud provider,ACCEPT,1.0,"The sentence explicitly states that a request is sent to a cloud provider, indicating a'send_to' relation.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
20,20,"Typically, the AWS provider can determine the
endpoint from the region name, but if the provider is running in an environment that does not provide public internet access, this endpoint is
unreachable. In this case, you can create a private endpoint (a non-default API endpoint URL used for requesting hosts through AWS); refer to the
AWS documentation for reference on creating this endpoint using the Amazon VPC console. Once created, you can then specify that endpoint for the
AWS_ENDPOINT_URL parameter.",aws provider,determine,endpoint,ACCEPT,0.8,"The sentence states that the AWS provider can determine the endpoint, which is a real relation.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
21,21,"Typically, the AWS provider can determine the
endpoint from the region name, but if the provider is running in an environment that does not provide public internet access, this endpoint is
unreachable. In this case, you can create a private endpoint (a non-default API endpoint URL used for requesting hosts through AWS); refer to the
AWS documentation for reference on creating this endpoint using the Amazon VPC console. Once created, you can then specify that endpoint for the
AWS_ENDPOINT_URL parameter.",provider,run_in,environment,ACCEPT,0.8,"The sentence mentions that the provider can run in an environment without public internet access, and creating a private endpoint for the provider in such an environment is a common solution to access AWS services. This relation is commonly observed in HPC schedulers.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
22,22,"The ssacct command displays accounting statistics immediately for LSF Session
Scheduler jobs
The IBM Spectrum LSF Session Scheduler enables users to run large collections of tasks within the allocation of a single LSF job. The ssacct
command displays accounting statistics about ﬁnished LSF Session Scheduler jobs.",lsf session,enable,user,ACCEPT,1.0,"The sentence states that 'The IBM Spectrum LSF Session Scheduler enables users to run jobs' and 'The ssacct command displays accounting statistics about finished jobs'. This implies that users can enable sessions, and sessions can be enabled for users.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
23,23,"Previously, to re-queue failed tasks, you speciﬁed individual task exist
codes, separating each code with a space, which can be a long manual list if you have multiple failed tasks. With Fix Pack 15, the command supports
the -Q ""all [~exit_code ...]",command,support,q,ACCEPT,1.0,"The sentence states that the command now supports specifying multiple exit codes using the -Q option, which is a clear indication of the support relation between the command and the exit codes (q in this case)",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
24,24,"Previously, to re-queue failed tasks, you speciﬁed individual task exist
codes, separating each code with a space, which can be a long manual list if you have multiple failed tasks. With Fix Pack 15, the command supports
the -Q ""all [~exit_code ...]",command,support_with,fix pack,ACCEPT,1.0,"The sentence states that the command now supports a new feature with Fix Pack 15, which implies a relation of'support_with' between the command and Fix Pack 15.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
25,25,"Additionally conﬁguring the new LSB_REPORT_SSJOB_FAILURE parameter in the lsf.conf ﬁle to Y enables the ssview command to obtain more
accurate task status information for LSF Session Scheduler jobs, as this parameter reports the reason that tasks have been killed or run
unsuccessfully.",parameter,report,reason,ACCEPT,1.0,"The sentence states that the LSB_REPORT_SSJOB_FAILURE parameter in the lsf.conf file enables the ssview command to obtain more accurate task status information, and specifically mentions that it reports the reason for tasks being killed or run unsuccessfully. This is a clear indication that the relation'report' holds between the parameter and the reason.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
26,26,The rate limiter is supported on Linux.,rate limiter,support_on,linux,ACCEPT,1.0,The sentence explicitly states that the rate limiter is supported on Linux.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-30T04:07:07+00:00
