id,seed_chunk_id,cq_text,supporting_chunk_ids_json,terms_used_json,model_id,raw_json
1,doc_0117_chunk_0001,What is the maximum number of tasks that can be submitted to the SLURM job scheduler at a time?,"[""doc_0117_chunk_0001""]","[""SLURM"", ""maximum"", ""tasks""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of tasks that can be submitted to the SLURM job scheduler at a time?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0001""], ""terms_used"": [""SLURM"", ""maximum"", ""tasks""]}"
2,doc_0117_chunk_0001,What command is used to submit a job to the LSF job scheduler?,"[""doc_0117_chunk_0001""]","[""LSF"", ""command"", ""submit""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the LSF job scheduler?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0001""], ""terms_used"": [""LSF"", ""command"", ""submit""]}"
3,doc_0117_chunk_0001,What is the default state of a job in the SLURM job scheduler when it is first submitted?,"[""doc_0111_chunk_0001""]","[""SLURM"", ""job"", ""default state""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM job scheduler when it is first submitted?"", ""supporting_chunk_ids"": [""doc_0111_chunk_0001""], ""terms_used"": [""SLURM"", ""job"", ""default state""]}"
4,doc_0117_chunk_0002,What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a single time?,"[""doc_0117_chunk_0002""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM job scheduler at a single time?"", ""supporting_chunk_ids"": [""doc_0117_chunk_0002""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
5,doc_0117_chunk_0002,What command is used to submit a job to the SLURM job scheduler?,"[""doc_0111_chunk_0001""]","[""SLURM"", ""command"", ""submit"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to submit a job to the SLURM job scheduler?"", ""supporting_chunk_ids"": [""doc_0111_chunk_0001""], ""terms_used"": [""SLURM"", ""command"", ""submit"", ""job""]}"
6,doc_0117_chunk_0002,What is the default partition for jobs submitted to the SLURM job scheduler if no partition is specified?,"[""doc_0111_chunk_0001""]","[""SLURM"", ""default"", ""partition"", ""jobs""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default partition for jobs submitted to the SLURM job scheduler if no partition is specified?"", ""supporting_chunk_ids"": [""doc_0111_chunk_0001""], ""terms_used"": [""SLURM"", ""default"", ""partition"", ""jobs""]}"
7,doc_04b1_chunk_0001,What is the maximum number of jobs that can be submitted to the SLURM scheduler at a time?,"[""doc_04b1_chunk_0001""]","[""SLURM"", ""maximum"", ""jobs"", ""submitted""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the SLURM scheduler at a time?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0001""], ""terms_used"": [""SLURM"", ""maximum"", ""jobs"", ""submitted""]}"
8,doc_04b1_chunk_0001,What command is used to cancel a job in the SLURM scheduler?,"[""doc_04b1_chunk_0001""]","[""SLURM"", ""cancel"", ""job""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What command is used to cancel a job in the SLURM scheduler?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0001""], ""terms_used"": [""SLURM"", ""cancel"", ""job""]}"
9,doc_04b1_chunk_0001,What is the default state of a job in the SLURM scheduler when it is first submitted?,"[""doc_04b1_chunk_0001""]","[""SLURM"", ""job"", ""default"", ""state""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the default state of a job in the SLURM scheduler when it is first submitted?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0001""], ""terms_used"": [""SLURM"", ""job"", ""default"", ""state""]}"
10,doc_04b1_chunk_0002,What is the maximum number of jobs that can be submitted to the HPC system at a time according to the SLURM documentation?,"[""doc_04b1_chunk_0002""]","[""maximum"", ""jobs"", ""SLURM""]",mistralai/Mistral-7B-Instruct-v0.3,"{""cq"": ""What is the maximum number of jobs that can be submitted to the HPC system at a time according to the SLURM documentation?"", ""supporting_chunk_ids"": [""doc_04b1_chunk_0002""], ""terms_used"": [""maximum"", ""jobs"", ""SLURM""]}"
