id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
1,doc_4387,doc_4387_sent_00002,Accounting records can be written to a simple text file or a database.,Accounting records,105,accounting record,write to,a simple text file,59,file,openie_spacy,2026-01-15T10:35:53Z
2,doc_4387,doc_4387_sent_00004,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks.",The sacct command,3861,sacct command,report,resource usage,27,usage,openie_spacy,2026-01-15T10:35:53Z
3,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster",the cluster,340,cluster,add to,the database,572,database,openie_spacy,2026-01-15T10:35:53Z
4,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,slurmctld,801,slurmctld,utilize,an internal cache,3907,cache,openie_spacy,2026-01-15T10:35:53Z
5,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,SlurmDBD,919,slurmdbd,return to,service,1432,service,openie_spacy,2026-01-15T10:35:53Z
6,doc_4387,doc_4387_sent_00033,Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.,Job,24,job,write to,a cache,3907,cache,openie_spacy,2026-01-15T10:35:53Z
7,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,4105,pathname,need in,the Slurm,50,slurm,openie_spacy,2026-01-15T10:35:53Z
8,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,4105,pathname,need in,slurm.conf,1180,slurm.conf,openie_spacy,2026-01-15T10:35:53Z
9,doc_4387,doc_4387_sent_00043,"Whether you use any authentication module or not you will need to have a way for the SlurmDBD to get UIDs for users and/or admins. If using MUNGE, it is ideal for your users to have the same id on all your clusters. If this is the case you should have a combination of every cluster's /etc/passwd file on the database server to allow the DBD to resolve names for authentication.",the SlurmDBD,919,slurmdbd,get,UIDs,5582,uid,openie_spacy,2026-01-15T10:35:53Z
10,doc_4387,doc_4387_sent_00049,"Both instances of slurmdbd should have access to the same database, share the same munge key(s), and have the same users with the same UID/GIDs.",Both instances,344,instance,have,access,4174,access,openie_spacy,2026-01-15T10:35:53Z
11,doc_4387,doc_4387_sent_00051,"Slurm JobComp Configuration
Presently job completion is not supported with the SlurmDBD, but can be written directly to a database, script or flat file.",job completion,2820,job completion,support with,the SlurmDBD,919,slurmdbd,openie_spacy,2026-01-15T10:35:53Z
12,doc_4387,doc_4387_sent_00057,JobCompPort: Only needed if using a database. The network port that the database accepts communication on.,the database,572,database,accept,communication,183,communication,openie_spacy,2026-01-15T10:35:53Z
13,doc_4387,doc_4387_sent_00061,JobCompParams: Pass arbitrary text string to job completion plugin.,JobCompParams,2843,jobcompparam,pass,arbitrary text string,439,string,openie_spacy,2026-01-15T10:35:53Z
14,doc_4387,doc_4387_sent_00067,Slurm uses the InnoDB storage engine in MySQL to make rollback possible.,Slurm,50,slurm,use,the InnoDB storage engine,1282,engine,openie_spacy,2026-01-15T10:35:53Z
15,doc_4387,doc_4387_sent_00067,Slurm uses the InnoDB storage engine in MySQL to make rollback possible.,Slurm,50,slurm,use in,MySQL,2829,mysql,openie_spacy,2026-01-15T10:35:53Z
16,doc_4387,doc_4387_sent_00086,[Warning] InnoDB: Cannot add field ... in table ...,[Warning] InnoDB,4026,innodb,add,field,1224,field,openie_spacy,2026-01-15T10:35:53Z
17,doc_4387,doc_4387_sent_00086,[Warning] InnoDB: Cannot add field ... in table ...,[Warning] InnoDB,4026,innodb,add in,table,1556,table,openie_spacy,2026-01-15T10:35:53Z
18,doc_4387,doc_4387_sent_00096,"SlurmDBD has a separate configuration file which is documented in a separate section. Note that you can write accounting information to SlurmDBD while job completion records are written to a text file or not maintained at all. If you don't set the configuration parameters that begin with ""AccountingStorage"" then accounting information will not be referenced or recorded.",SlurmDBD,919,slurmdbd,have,a separate configuration file,59,file,openie_spacy,2026-01-15T10:35:53Z
19,doc_4387,doc_4387_sent_00097,"AccountingStorageEnforce: This option contains a comma separated list of options you may want to enforce. The valid options are any comma separated combination of
associations - This will prevent users from running jobs if their association is not in the database.",This option,150,option,contain,a comma separated list,547,list,openie_spacy,2026-01-15T10:35:53Z
20,doc_4387,doc_4387_sent_00100,"If a qos is used the limits will be enforced, but 'qos' described below is still needed if you want to enforce access to the qos.
nojobs - This will make it so no job information is stored in accounting.",no job information,275,information,store in,accounting,1993,accounting,openie_spacy,2026-01-15T10:35:53Z
21,doc_4387,doc_4387_sent_00103,so no step information is stored in accounting.,no step information,275,information,store in,accounting,1993,accounting,openie_spacy,2026-01-15T10:35:53Z
22,doc_4387,doc_4387_sent_00110,"Without this option set, jobs will be launched as long as their usage hasn't reached the TRES-minutes limit which can lead to jobs being launched but then killed when the limit is reached. With the 'safe' option set, a job won't be killed due to limits, even if the limits are changed after a job was started and the association or qos violates the updated limits. By setting this option, both the 'associations' option and the 'limits' option are set automatically.",their usage,27,usage,reach,the TRES-minutes limit,64,limit,openie_spacy,2026-01-15T10:35:53Z
