id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
2,752,unkwn,3,job,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00024,"For instance, running the bkill command to kill a job in
UNKWN state, a re-runnable job is requeued when the execution host is unavailable, or the mbatchd daemon killing the UNKWN job when
the REMOVE_HUNG_JOBS_FOR parameter is set in the lsb.params ﬁle. (See Removing hung jobs from LSF for details about
REMOVE_HUNG_JOBS_FOR.)"
3,3,job,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00035,"A job is a command that is submitted to LSF for execution, by using the bsub command."
5,805,interactive job,3,job,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00045,"A new job cannot be submitted until the interactive
job is completed or terminated."
6,13,task,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00046,"Interactive task
An interactive task is a command that is not submitted to a batch queue and scheduled by LSF, but is dispatched immediately."
8,930,automount command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00102,"Supported ﬁle systems
UNIX
On UNIX systems, LSF supports the following shared ﬁle systems:
Network File System (NFS)
NFS ﬁle systems can be mounted permanently or on demand by using the automount command."
22,1065,lsadmin command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00191,"Related concepts
LSF Cluster Management and Operations
Check cluster conﬁguration with the lsadmin command
The lsadmin command controls the operation of an LSF cluster and administers the LSF daemons lim and res.
Use the lsadmin ckconﬁg command to check the LSF conﬁguration ﬁles."
31,1066,badmin command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00218,"Check LSF batch system conﬁguration with badmin
The badmin command controls and monitors the operation of the LSF batch workload system."
35,1199,bhost command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00231,"If you see the following message when you start or reconﬁgure LSF, wait a few seconds and try the bhosts command again to give the mbatchd
daemon time to initialize."
38,1243,bparams command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00242,The bparams command displays information about the LSF batch system conﬁguration parameters.
39,1186,bhist command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00243,The bhist command displays historical information about jobs.
48,1232,default queue,735,queue,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00256,"The following command submits a sleep job to the default queue (normal):
% bsub sleep 60
Job <3616> is submitted to default queue <normal>."
54,1293,bstop command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00278,"bstop command
To suspend a running job, use the bstop command and specify the job ID:
Job <1266> is being stopped
If the job was running when it was stopped, the bjobs command shows USUSP status for job 1266:"
56,1299,bresume command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00282,"bresume command
To resume a suspended job, use the bresume command."
57,1294,bjob command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00283,"Job <1266> is being resumed
If the job resumes immediately, the bjobs command shows RUN status for job 1266:"
58,757,bkill command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00286,"bkill command
To kill a job, use the bkill command, which sends a signal to the speciﬁed jobs."
60,1053,lsrun command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00288,"The lsrun command runs a task on either the current local host or remotely on the best available host, provided it can ﬁnd the necessary resources
and the appropriate host type."
61,1263,lsgrun command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00289,"The lsgrun command is similar to lsrun, but it runs a task on a group of hosts."
63,819,ls command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00290,The following command runs the ls command.
67,1308,hostname command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00293,"-m hosta hostname
<<Execute hostname on remote host hosta>>
hosta
The following command runs the hostname command on three remote hosts:
% lsgrun -v"
69,783,bsub command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00298,"For more information about specifying shared resources by using the resource requirement (rusage) string on the -R option of the bsub command,
see Manage software licenses and other shared resources."
70,1085,source command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00315,Add a line with the source command to the end of the .cshrc ﬁle:
74,1129,bqueue command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00432,Use the bqueues command to view a list of existing queues and the jobs that are running in those queues.
75,1465,original queue,735,queue,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00435,"Running jobs continue, and jobs that are pending in the
original queue are pending in the lost_and_found queue."
76,1463,lost_and_found queue,735,queue,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00435,"Running jobs continue, and jobs that are pending in the
original queue are pending in the lost_and_found queue."
77,1473,night queue,735,queue,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00443,"For example, the bswitch -q night idle 0 command chooses jobs from the night queue to the idle queue."
78,1474,idle queue,735,queue,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00443,"For example, the bswitch -q night idle 0 command chooses jobs from the night queue to the idle queue."
81,1433,hostsetup command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00481,"Procedure
Use the boot=y option of the hostsetup command."
84,1122,lsload command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00561,"Sometimes the LIM is up, but running the lsload command prints the Communication time out error message."
85,1679,lspasswd command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00586,"For Windows hosts, users must register and update their Windows passwords by using the lspasswd command."
86,1121,lsid command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00605,Run the lsid command to check whether LIM is running.
89,1743,rsh command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00635,You must be able to run the rsh command across all hosts without entering a password.
93,1633,lshost command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00646,"If Model or Type are displayed as DEFAULT when you use the lshosts command and automatic host model and type detection is enabled,
you can leave it as is or change it."
96,1971,egosh command,293,command,1.0,pattern_def,doc_7ceb,doc_7ceb_sent_00759,"Please wait…
EGO command messages
You cannot run the egosh command because the administrator has chosen not
 to enable EGO in lsf.conf: LSF_ENABLE_EGO=N.
If EGO is not enabled, the egosh command cannot ﬁnd the ego.conf ﬁle or cannot contact the vemkd daemon (likely because it is not started)."
97,9,sacct command,293,command,1.0,pattern_def,doc_4387,doc_4387_sent_00004,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks."
98,14,sstat command,293,command,1.0,pattern_def,doc_4387,doc_4387_sent_00005,The sstat command can be used to status only currently running jobs.
