edge_id,head_lemma,tail_lemma,relation,head_term,tail_term,doc_id,chunk_id,confidence,reason,raw_json
1,slurmdbv0043getjobs,slurmdb,reads_config_from,slurmdbV0043GetJobs,slurmdb,doc_05b9,doc_05b9_chunk_0014,0.9,slurmdbV0043GetJobs is a command that retrieves job data from the slurmdb configuration file.,"{
  ""relations"": [
    {
      ""head"": ""slurmdbv0043getjobs"",
      ""tail"": ""slurmdb"",
      ""relation"": ""reads_config_from"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdbV0043GetJobs is a command that retrieves job data from the slurmdb configuration file.""
    }
  ]
}"
2,tres,slurmdb,uses,TRES,slurmdb,doc_05b9,doc_05b9_chunk_0017,0.9,The TRES resource is described as using the slurmdb configuration.,"{
  ""relations"": [
    {
      ""head"": ""tres"",
      ""tail"": ""slurmdb"",
      ""relation"": ""uses"",
      ""confidence"": 0.9,
      ""reason"": ""The TRES resource is described as using the slurmdb configuration.""
    }
  ]
}"
3,kill_jobs_resp,kill_jobs_resp_job,contains,kill_jobs_resp,kill_jobs_resp_job,doc_05b9,doc_05b9_chunk_0029,0.9,The 'kill_jobs_resp' is described as a list of job signal responses.,"{
  ""relations"": [
    {
      ""head"": ""kill_jobs_resp"",
      ""tail"": ""kill_jobs_resp_job"",
      ""relation"": ""contains"",
      ""confidence"": 0.9,
      ""reason"": ""The 'kill_jobs_resp' is described as a list of job signal responses.""
    },
    {
      ""head"": ""licenses"",
      ""tail"": ""unknown"",
      ""relation"": ""associated_with"",
      ""confidence"": 0.8,
      ""reason"": ""The 'licenses' are mentioned in the context of queues or partitions.""
    }
  ]
}"
4,oci.conf,nvidia-container-runtime,used_by,oci.conf,nvidia-container-runtime,doc_0ac6,doc_0ac6_chunk_0005,0.9,oci.conf is provided as an example for using nvidia-container-runtime.,"{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_by"",
      ""confidence"": 0.9,
      ""reason"": ""oci.conf is provided as an example for using nvidia-container-runtime.""
    },
    {
      ""head"": ""rootless"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""rootless is used in conjunction with nvidia-container-runtime.""
    },
    {
      ""head"": ""--root"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""--root is used in conjunction with nvidia-container-runtime.""
    }
  ]
}"
5,rootless,nvidia-container-runtime,used_with,rootless,nvidia-container-runtime,doc_0ac6,doc_0ac6_chunk_0005,0.9,rootless is used in conjunction with nvidia-container-runtime.,"{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_by"",
      ""confidence"": 0.9,
      ""reason"": ""oci.conf is provided as an example for using nvidia-container-runtime.""
    },
    {
      ""head"": ""rootless"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""rootless is used in conjunction with nvidia-container-runtime.""
    },
    {
      ""head"": ""--root"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""--root is used in conjunction with nvidia-container-runtime.""
    }
  ]
}"
6,--root,nvidia-container-runtime,used_with,--root,nvidia-container-runtime,doc_0ac6,doc_0ac6_chunk_0005,0.9,--root is used in conjunction with nvidia-container-runtime.,"{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_by"",
      ""confidence"": 0.9,
      ""reason"": ""oci.conf is provided as an example for using nvidia-container-runtime.""
    },
    {
      ""head"": ""rootless"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""rootless is used in conjunction with nvidia-container-runtime.""
    },
    {
      ""head"": ""--root"",
      ""tail"": ""nvidia-container-runtime"",
      ""relation"": ""used_with"",
      ""confidence"": 0.9,
      ""reason"": ""--root is used in conjunction with nvidia-container-runtime.""
    }
  ]
}"
7,oci.conf,slurm_conf,excludes,oci.conf,SLURM_CONF,doc_0ac6,doc_0ac6_chunk_0006,0.9,EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.,"{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf"",
      ""relation"": ""excludes"",
      ""confidence"": 0.9,
      ""reason"": ""EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.""
    },
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf_server"",
      ""relation"": ""excludes"",
      ""confidence"": 0.9,
      ""reason"": ""EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.""
    }
  ]
}"
8,oci.conf,slurm_conf_server,excludes,oci.conf,SLURM_CONF_SERVER,doc_0ac6,doc_0ac6_chunk_0006,0.9,EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.,"{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf"",
      ""relation"": ""excludes"",
      ""confidence"": 0.9,
      ""reason"": ""EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.""
    },
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf_server"",
      ""relation"": ""excludes"",
      ""confidence"": 0.9,
      ""reason"": ""EnvExclude and RunTimeEnvExclude lines in oci.conf exclude SLURM_CONF and SLURM_CONF_SERVER.""
    }
  ]
}"
9,slurm,rest api,provides,Slurm,REST API,doc_0e42,doc_0e42_chunk_0001,0.95,Slurm provides a REST API through the slurmrestd daemon.,"{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""rest api"",
      ""relation"": ""provides"",
      ""confidence"": 0.95,
      ""reason"": ""Slurm provides a REST API through the slurmrestd daemon.""
    }
  ]
}"
10,--cpu-bind,core numbering,assumes,--cpu-bind,core numbering,doc_10c5,doc_10c5_chunk_0007,0.9,The text mentions that users must understand the core numbering on their system when using the --cpu-bind flag.,"{
  ""relations"": [
    {
      ""head"": ""--cpu-bind"",
      ""tail"": ""core numbering"",
      ""relation"": ""assumes"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that users must understand the core numbering on their system when using the --cpu-bind flag.""
    },
    {
      ""head"": ""/proc/cpuinfo"",
      ""tail"": ""core numbering"",
      ""relation"": ""provides"",
      ""confidence"": 0.95,
      ""reason"": ""The text mentions that the core numbering information is available from the /proc/cpuinfo file on the system.""
    },
    {
      ""head"": ""cpu affinity"",
      ""tail"": ""multi-core"",
      ""relation"": ""related_to"",
      ""confidence"": 0.9,
      ""reason"": ""The text mentions that CPU affinity is set when using multi-core supporting flags.""
    }
  ]
}"
