lemma_id,doc_id,sent_idx,sentence,tokens_json,lemmas_json,lemmas_with_case_json,lemmatized_text,lemmatized_text_with_case,pos_tags_json,cleaned_version,created_at
1,doc_4387,1,Slurm can be configured to collect accounting information for every job and job step executed.,"[""Slurm"", ""can"", ""be"", ""configured"", ""to"", ""collect"", ""accounting"", ""information"", ""for"", ""every"", ""job"", ""and"", ""job"", ""step"", ""executed"", "".""]","[""Slurm"", ""can"", ""be"", ""configure"", ""to"", ""collect"", ""accounting"", ""information"", ""for"", ""every"", ""job"", ""and"", ""job"", ""step"", ""execute"", "".""]","[""Slurm"", ""can"", ""be"", ""configure"", ""to"", ""collect"", ""accounting"", ""information"", ""for"", ""every"", ""job"", ""and"", ""job"", ""step"", ""execute"", "".""]",Slurm can be configure to collect accounting information for every job and job step execute .,Slurm can be configure to collect accounting information for every job and job step execute .,"[""PROPN"", ""AUX"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""NOUN"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""CCONJ"", ""NOUN"", ""NOUN"", ""VERB"", ""PUNCT""]",1,2025-12-02T14:35:33Z
2,doc_4387,2,Accounting records can be written to a simple text file or a database.,"[""Accounting"", ""records"", ""can"", ""be"", ""written"", ""to"", ""a"", ""simple"", ""text"", ""file"", ""or"", ""a"", ""database"", "".""]","[""accounting"", ""record"", ""can"", ""be"", ""write"", ""to"", ""a"", ""simple"", ""text"", ""file"", ""or"", ""a"", ""database"", "".""]","[""Accounting"", ""record"", ""can"", ""be"", ""write"", ""to"", ""a"", ""simple"", ""text"", ""file"", ""or"", ""a"", ""database"", "".""]",accounting record can be write to a simple text file or a database .,Accounting record can be write to a simple text file or a database .,"[""NOUN"", ""NOUN"", ""AUX"", ""AUX"", ""VERB"", ""ADP"", ""DET"", ""ADJ"", ""NOUN"", ""NOUN"", ""CCONJ"", ""DET"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
3,doc_4387,3,Information is available about both currently executing jobs and jobs which have already terminated.,"[""Information"", ""is"", ""available"", ""about"", ""both"", ""currently"", ""executing"", ""jobs"", ""and"", ""jobs"", ""which"", ""have"", ""already"", ""terminated"", "".""]","[""information"", ""be"", ""available"", ""about"", ""both"", ""currently"", ""execute"", ""job"", ""and"", ""job"", ""which"", ""have"", ""already"", ""terminate"", "".""]","[""Information"", ""be"", ""available"", ""about"", ""both"", ""currently"", ""execute"", ""job"", ""and"", ""job"", ""which"", ""have"", ""already"", ""terminate"", "".""]",information be available about both currently execute job and job which have already terminate .,Information be available about both currently execute job and job which have already terminate .,"[""NOUN"", ""AUX"", ""ADJ"", ""ADP"", ""DET"", ""ADV"", ""VERB"", ""NOUN"", ""CCONJ"", ""NOUN"", ""DET"", ""AUX"", ""ADV"", ""VERB"", ""PUNCT""]",1,2025-12-02T14:35:33Z
4,doc_4387,4,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks.","[""The"", ""sacct"", ""command"", ""can"", ""report"", ""resource"", ""usage"", ""for"", ""running"", ""or"", ""terminated"", ""jobs"", ""including"", ""individual"", ""tasks"", "","", ""which"", ""can"", ""be"", ""useful"", ""to"", ""detect"", ""load"", ""imbalance"", ""between"", ""the"", ""tasks"", "".""]","[""the"", ""sacct"", ""command"", ""can"", ""report"", ""resource"", ""usage"", ""for"", ""run"", ""or"", ""terminate"", ""job"", ""include"", ""individual"", ""task"", "","", ""which"", ""can"", ""be"", ""useful"", ""to"", ""detect"", ""load"", ""imbalance"", ""between"", ""the"", ""task"", "".""]","[""The"", ""sacct"", ""command"", ""can"", ""report"", ""resource"", ""usage"", ""for"", ""run"", ""or"", ""terminate"", ""job"", ""include"", ""individual"", ""task"", "","", ""which"", ""can"", ""be"", ""useful"", ""to"", ""detect"", ""load"", ""imbalance"", ""between"", ""the"", ""task"", "".""]","the sacct command can report resource usage for run or terminate job include individual task , which can be useful to detect load imbalance between the task .","The sacct command can report resource usage for run or terminate job include individual task , which can be useful to detect load imbalance between the task .","[""DET"", ""ADJ"", ""NOUN"", ""AUX"", ""VERB"", ""NOUN"", ""NOUN"", ""ADP"", ""VERB"", ""CCONJ"", ""VERB"", ""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""PUNCT"", ""DET"", ""AUX"", ""AUX"", ""ADJ"", ""PART"", ""VERB"", ""NOUN"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
5,doc_4387,5,The sstat command can be used to status only currently running jobs.,"[""The"", ""sstat"", ""command"", ""can"", ""be"", ""used"", ""to"", ""status"", ""only"", ""currently"", ""running"", ""jobs"", "".""]","[""the"", ""sstat"", ""command"", ""can"", ""be"", ""use"", ""to"", ""status"", ""only"", ""currently"", ""run"", ""job"", "".""]","[""The"", ""sstat"", ""command"", ""can"", ""be"", ""use"", ""to"", ""status"", ""only"", ""currently"", ""run"", ""job"", "".""]",the sstat command can be use to status only currently run job .,The sstat command can be use to status only currently run job .,"[""DET"", ""ADJ"", ""NOUN"", ""AUX"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""ADV"", ""ADV"", ""VERB"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
6,doc_4387,6,It also can give you valuable information about imbalance between tasks.,"[""It"", ""also"", ""can"", ""give"", ""you"", ""valuable"", ""information"", ""about"", ""imbalance"", ""between"", ""tasks"", "".""]","[""it"", ""also"", ""can"", ""give"", ""you"", ""valuable"", ""information"", ""about"", ""imbalance"", ""between"", ""task"", "".""]","[""It"", ""also"", ""can"", ""give"", ""you"", ""valuable"", ""information"", ""about"", ""imbalance"", ""between"", ""task"", "".""]",it also can give you valuable information about imbalance between task .,It also can give you valuable information about imbalance between task .,"[""PRON"", ""ADV"", ""AUX"", ""VERB"", ""PRON"", ""ADJ"", ""NOUN"", ""ADP"", ""NOUN"", ""ADP"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
7,doc_4387,7,The sreport can be used to generate reports based upon all jobs executed in a particular time interval.,"[""The"", ""sreport"", ""can"", ""be"", ""used"", ""to"", ""generate"", ""reports"", ""based"", ""upon"", ""all"", ""jobs"", ""executed"", ""in"", ""a"", ""particular"", ""time"", ""interval"", "".""]","[""the"", ""sreport"", ""can"", ""be"", ""use"", ""to"", ""generate"", ""report"", ""base"", ""upon"", ""all"", ""job"", ""execute"", ""in"", ""a"", ""particular"", ""time"", ""interval"", "".""]","[""The"", ""sreport"", ""can"", ""be"", ""use"", ""to"", ""generate"", ""report"", ""base"", ""upon"", ""all"", ""job"", ""execute"", ""in"", ""a"", ""particular"", ""time"", ""interval"", "".""]",the sreport can be use to generate report base upon all job execute in a particular time interval .,The sreport can be use to generate report base upon all job execute in a particular time interval .,"[""DET"", ""NOUN"", ""AUX"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""NOUN"", ""VERB"", ""SCONJ"", ""DET"", ""NOUN"", ""VERB"", ""ADP"", ""DET"", ""ADJ"", ""NOUN"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
8,doc_4387,8,There are three distinct plugin types associated with resource accounting.,"[""There"", ""are"", ""three"", ""distinct"", ""plugin"", ""types"", ""associated"", ""with"", ""resource"", ""accounting"", "".""]","[""there"", ""be"", ""three"", ""distinct"", ""plugin"", ""type"", ""associate"", ""with"", ""resource"", ""accounting"", "".""]","[""There"", ""be"", ""three"", ""distinct"", ""plugin"", ""type"", ""associate"", ""with"", ""resource"", ""accounting"", "".""]",there be three distinct plugin type associate with resource accounting .,There be three distinct plugin type associate with resource accounting .,"[""PRON"", ""AUX"", ""NUM"", ""ADJ"", ""ADJ"", ""NOUN"", ""VERB"", ""ADP"", ""NOUN"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
9,doc_4387,9,"The Slurm configuration parameters (in slurm.conf) associated with these plugins include:
AccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD.","[""The"", ""Slurm"", ""configuration"", ""parameters"", ""("", ""in"", ""slurm.conf"", "")"", ""associated"", ""with"", ""these"", ""plugins"", ""include"", "":"", ""\n"", ""AccountingStorageType"", ""controls"", ""how"", ""detailed"", ""job"", ""and"", ""job"", ""step"", ""information"", ""is"", ""recorded"", ""."", ""You"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", ""or"", ""into"", ""SlurmDBD"", "".""]","[""the"", ""Slurm"", ""configuration"", ""parameter"", ""("", ""in"", ""slurm.conf"", "")"", ""associate"", ""with"", ""these"", ""plugin"", ""include"", "":"", ""\n"", ""accountingstoragetype"", ""control"", ""how"", ""detailed"", ""job"", ""and"", ""job"", ""step"", ""information"", ""be"", ""record"", ""."", ""you"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", ""or"", ""into"", ""SlurmDBD"", "".""]","[""The"", ""Slurm"", ""configuration"", ""parameter"", ""("", ""in"", ""slurm.conf"", "")"", ""associate"", ""with"", ""these"", ""plugin"", ""include"", "":"", ""\n"", ""Accountingstoragetype"", ""control"", ""how"", ""detailed"", ""job"", ""and"", ""job"", ""step"", ""information"", ""be"", ""record"", ""."", ""You"", ""can"", ""store"", ""this"", ""information"", ""in"", ""a"", ""text"", ""file"", ""or"", ""into"", ""Slurmdbd"", "".""]","the Slurm configuration parameter ( in slurm.conf ) associate with these plugin include : 
 accountingstoragetype control how detailed job and job step information be record . you can store this information in a text file or into SlurmDBD .","The Slurm configuration parameter ( in slurm.conf ) associate with these plugin include : 
 Accountingstoragetype control how detailed job and job step information be record . You can store this information in a text file or into Slurmdbd .","[""DET"", ""PROPN"", ""NOUN"", ""NOUN"", ""PUNCT"", ""ADP"", ""NUM"", ""PUNCT"", ""VERB"", ""ADP"", ""DET"", ""NOUN"", ""VERB"", ""PUNCT"", ""SPACE"", ""NOUN"", ""VERB"", ""SCONJ"", ""ADJ"", ""NOUN"", ""CCONJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""AUX"", ""VERB"", ""PUNCT"", ""PRON"", ""AUX"", ""VERB"", ""DET"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""NOUN"", ""CCONJ"", ""ADP"", ""PROPN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
10,doc_4387,10,JobAcctGatherType is operating system dependent and controls what mechanism is used to collect accounting information.,"[""JobAcctGatherType"", ""is"", ""operating"", ""system"", ""dependent"", ""and"", ""controls"", ""what"", ""mechanism"", ""is"", ""used"", ""to"", ""collect"", ""accounting"", ""information"", "".""]","[""JobAcctGatherType"", ""be"", ""operate"", ""system"", ""dependent"", ""and"", ""control"", ""what"", ""mechanism"", ""be"", ""use"", ""to"", ""collect"", ""accounting"", ""information"", "".""]","[""Jobacctgathertype"", ""be"", ""operate"", ""system"", ""dependent"", ""and"", ""control"", ""what"", ""mechanism"", ""be"", ""use"", ""to"", ""collect"", ""accounting"", ""information"", "".""]",JobAcctGatherType be operate system dependent and control what mechanism be use to collect accounting information .,Jobacctgathertype be operate system dependent and control what mechanism be use to collect accounting information .,"[""PROPN"", ""AUX"", ""VERB"", ""NOUN"", ""ADJ"", ""CCONJ"", ""VERB"", ""DET"", ""NOUN"", ""AUX"", ""VERB"", ""PART"", ""VERB"", ""NOUN"", ""NOUN"", ""PUNCT""]",1,2025-12-02T14:35:33Z
