chunk_id,doc_id,text,sentence_ids_json,num_sentences,start_char,end_char,estimated_tokens
doc_0117_chunk_0001,doc_0117,"The Effective Usage Ratio Under an Account Hierarchy
Configuration
Introduction
The depth-oblivious fair-share factor is a variant of the default fair-share factor which increases usable priority ranges and improves fairness between accounts in deep and/or irregular hierarchies. The reader is assumed to be familiar with the priority/multifactor plugin and only the specifics of the depth-oblivious factor are documented here
Depth-Oblivious Fair-Share Formula
The main formula for calculating the fair-share factor of an account is:
 F = 2^(-R)
where:
F
is the fair-share factor
R
is the effective usage ratio of the account
This formula resembles the original fair-share formula, and produces the same result for an account at the first level of the tree (under root). Indeed, for first-level accounts, the effective usage ratio R is equal to the usage ratio r defined as:
 r = U/S
where:
S
is the normalized shares
U
is the normalized usage factoring in half-life decay
which is the same as the original formula. The Effective Usage Ratio Under an Account Hierarchy
The generalized formula for R is a bit more complex. It involves a local usage ratio rl:
 rl = r / (Uall_siblings/Sall_siblings)
which is the ratio between the usage ratio of an account, and the total usage ratio of all the siblings at his level including itself. For example, assuming that all the children of an account have used in total two times their combined shares (which equal the shares of the parent account), but that one of the child has used only two thirds of his shares, the local usage ratio of that child will be of one third. The general formula for R is then defined by:
 R = Rparent * rl^k
where:
k
varies between 0 and 1 and determines how much the effective usage ratio of an account is determined by the usage ratio of its ancestors. To understand the formula for k, it is useful to first make a few observations about the formula for R. On the one hand, if k equals 1, the above formula gives R = Rparent * rl. For a second-level account, by plugging in the formula for rl, this leads to R = r * Uparent/Uall_siblings. Assuming jobs are submitted at leaf accounts, Uparent = Uall_siblings which gives R = r. This means that if k equals 1, the fair-share factor of an account is only based on its own usage ratio. On the other hand, if k equals 0, R = Rparent which means the fair-share factor of an account is only based on the usage ratio of its ancestors. k = (1/(1+(5*ln(Rparent))^2)) if ln(Rparent)*ln(rl) <= 0
 k = 1 if ln(Rparent)*ln(rl) >= 0
This formula is chosen to ensure that, if the usage of the ancestors of an account is on target, the fair-share factor of the account mainly depends on its own usage. Therefore k tends towards 1 when Rparent tends towards 1.","[""doc_0117_sent_00001"", ""doc_0117_sent_00002"", ""doc_0117_sent_00003"", ""doc_0117_sent_00004"", ""doc_0117_sent_00005"", ""doc_0117_sent_00006"", ""doc_0117_sent_00007"", ""doc_0117_sent_00008"", ""doc_0117_sent_00009"", ""doc_0117_sent_00010"", ""doc_0117_sent_00011"", ""doc_0117_sent_00012""]",12,0,2791,630
doc_0117_chunk_0002,doc_0117,"Therefore k tends towards 1 when Rparent tends towards 1. On the contrary, the more the ancestors of an account have underused/overused their shares, the more the fair-share factor of the account should get a bonus/malus by moving towards the fair-share factor of its parent. Therefore, k tends towards 0 when Rparent diverges from 1. However, if the account usage imbalance is greater than its ancestors' in the same direction, (for example, the ancestors have consumed two times their shares, and the child has consumed 3 times its shares), moving the fair-share factor back towards the one of the parent is not helpful. As a result, k is kept to 1 in that case. Plot of k as a function of Rparent
Configuration
The following slurm.conf parameters are used to enable the depth-oblivious flavor of the fair-share factor. See slurm.conf(5) man page for more details. PriorityFlags
Set to ""DEPTH_OBLIVIOUS"". PriorityType
Set this value to ""priority/multifactor"".","[""doc_0117_sent_00012"", ""doc_0117_sent_00013"", ""doc_0117_sent_00014"", ""doc_0117_sent_00015"", ""doc_0117_sent_00016"", ""doc_0117_sent_00017"", ""doc_0117_sent_00018""]",7,2734,3705,201
doc_0117_chunk_0003,doc_0117,"PriorityType
Set this value to ""priority/multifactor"".","[""doc_0117_sent_00018""]",1,3651,3705,7
doc_04b1_chunk_0001,doc_04b1,"This document contains Slurm administrator information specifically for high throughput computing, namely the execution of many short jobs. Getting optimal performance for high throughput computing does require some tuning and this document should help you off to a good start. A working knowledge of Slurm should be considered a prerequisite for this material. Performance Results
Slurm has also been validated to execute 500 simple batch jobs per second on a sustained basis with short bursts of activity at a much higher level. Actual performance depends upon the jobs to be executed plus the hardware and configuration used. System configuration
Several system configuration parameters may require modification to support a large number of open files and TCP connections with large bursts of messages. Changes can be made using the /etc/rc.d/rc.local or /etc/sysctl.conf script to preserve changes after reboot. In either case, you can write values directly into these files (e.g. ""echo 32832 > /proc/sys/fs/file-max""). /proc/sys/fs/file-max: The maximum number of concurrently open files. We recommend a limit of at least 32,832. /proc/sys/net/ipv4/tcp_max_syn_backlog: The maximum number of SYN requests to keep in memory that we have yet to get the third packet in a 3-way handshake from. The default value is 1024 for systems with more than 128Mb of memory, and 128 for low memory machines. If server suffers of overload, try to increase this number.","[""doc_04b1_sent_00001"", ""doc_04b1_sent_00002"", ""doc_04b1_sent_00003"", ""doc_04b1_sent_00004"", ""doc_04b1_sent_00005"", ""doc_04b1_sent_00006"", ""doc_04b1_sent_00007"", ""doc_04b1_sent_00008"", ""doc_04b1_sent_00009"", ""doc_04b1_sent_00010"", ""doc_04b1_sent_00011"", ""doc_04b1_sent_00012""]",12,0,1459,289
doc_04b1_chunk_0002,doc_04b1,"If server suffers of overload, try to increase this number. /proc/sys/net/ipv4/tcp_syncookies: Used to send out syncookies to hosts when the kernels syn backlog queue for a specific socket is overflowed. The default value is 0, which disables this functionality. Set the value to 1.
/proc/sys/net/ipv4/tcp_synack_retries: How many times to retransmit the SYN,ACK reply to an SYN request. In other words, this tells the system how many times to try to establish a passive TCP connection that was started by another host. This variable takes an integer value, but should under no circumstances be larger than 255. Each retransmission will take approximately 30 to 40 seconds. The default value of 5, which results in a timeout of passive TCP connections of approximately 180 seconds and is generally satisfactory. /proc/sys/net/core/somaxconn: Limit of socket listen() backlog, known in userspace as SOMAXCONN. Defaults to 128. The value should be raised substantially to support bursts of request. For example, to support a burst of 1024 requests, set somaxconn to 1024. /proc/sys/net/ipv4/ip_local_port_range: Identify the ephemeral ports available, which are used for many Slurm communications. The value may be raised to support a high volume of communications. For example, write the value ""32768 65535"" into the ip_local_port_range file in order to make that range of ports available. The transmit queue length (txqueuelen) may also need to be modified using the ifconfig command. A value of 4096 has been found to work well for one site with a very large cluster (e.g. ""ifconfig txqueuelen 4096""). Munge configuration
By default the Munge daemon runs with two threads, but a higher thread count can improve its throughput. We suggest starting the Munge daemon with ten threads for high throughput support (e.g. ""munged --num-threads 10"").","[""doc_04b1_sent_00012"", ""doc_04b1_sent_00013"", ""doc_04b1_sent_00014"", ""doc_04b1_sent_00015"", ""doc_04b1_sent_00016"", ""doc_04b1_sent_00017"", ""doc_04b1_sent_00018"", ""doc_04b1_sent_00019"", ""doc_04b1_sent_00020"", ""doc_04b1_sent_00021"", ""doc_04b1_sent_00022"", ""doc_04b1_sent_00023""]",12,1399,3243,369
doc_04b1_chunk_0003,doc_04b1,"Munge configuration
By default the Munge daemon runs with two threads, but a higher thread count can improve its throughput. We suggest starting the Munge daemon with ten threads for high throughput support (e.g. ""munged --num-threads 10""). User limits
The ulimit values in effect for the slurmctld daemon should be set quite high for memory size, open file count and stack size. Slurm Configuration
Several Slurm configuration parameters should be adjusted to reflect the needs of high throughput computing. The changes described below will not be possible in all environments, but these are the configuration options that you may want to consider for higher throughput. AccountingStorageType: Disabling storing accounting records by not setting this plugin. Turning accounting off provides minimal improvement in performance. If using the SlurmDBD increased speedup can be achieved by setting the CommitDelay option in the slurmdbd.conf
JobAcctGatherType: Disabling the collection of job accounting information will improve job throughput. Disable collection of accounting by using the jobacct_gather/none plugin. Disabling recording of job completion information will improve job throughput. Disable recording of job completion information by using the jobcomp/none plugin. JobSubmitPlugins: Use of a lua job submit plugin is not recommended. slurmctld runs this script while holding internal locks, and only a single copy of this script can run at a time. This blocks most concurrency in slurmctld. Therefore, we do not recommend using it in a high throughput environment.","[""doc_04b1_sent_00023"", ""doc_04b1_sent_00024"", ""doc_04b1_sent_00025"", ""doc_04b1_sent_00026"", ""doc_04b1_sent_00027"", ""doc_04b1_sent_00028"", ""doc_04b1_sent_00029"", ""doc_04b1_sent_00030"", ""doc_04b1_sent_00031"", ""doc_04b1_sent_00032"", ""doc_04b1_sent_00033"", ""doc_04b1_sent_00034""]",12,3002,4592,301
doc_04b1_chunk_0004,doc_04b1,"Therefore, we do not recommend using it in a high throughput environment. MaxJobCount: Controls how many jobs may be in the slurmctld daemon records at any point in time (pending, running, suspended or completed[temporarily]). The default value is 10,000. MessageTimeout: Controls how long to wait for a response to messages. The default value is 10 seconds. While the slurmctld daemon is highly threaded, its responsiveness is load dependent. This value might need to be increased somewhat. MinJobAge: Controls how soon the record of a completed job can be purged from the slurmctld memory and thus not visible using the squeue command. The record of jobs run will be preserved in accounting records and logs. The default value is 300 seconds. The value should be reduced to a few seconds if possible. Use of accounting records for older jobs can increase the job throughput rate compared with retaining old jobs in the memory of the slurmctld daemon. The priority/basic is considerably faster than other options, but schedules jobs only on a First In First Out (FIFO) basis. PrologSlurmctld/EpilogSlurmctld: Neither of these is recommended for a high throughput environment. When they are enabled a separate slurmctld thread has to be created for every job start (or task for a job array). Current architecture requires acquisition of a job write lock in every thread, which is a costly operation that severely limits scheduler throughput.","[""doc_04b1_sent_00034"", ""doc_04b1_sent_00035"", ""doc_04b1_sent_00036"", ""doc_04b1_sent_00037"", ""doc_04b1_sent_00038"", ""doc_04b1_sent_00039"", ""doc_04b1_sent_00040"", ""doc_04b1_sent_00041"", ""doc_04b1_sent_00042"", ""doc_04b1_sent_00043"", ""doc_04b1_sent_00044"", ""doc_04b1_sent_00045""]",12,4518,5974,300
doc_04b1_chunk_0005,doc_04b1,"Current architecture requires acquisition of a job write lock in every thread, which is a costly operation that severely limits scheduler throughput. SchedulerParameters: Many scheduling parameters are available. Setting option batch_sched_delay will control how long the scheduling of batch jobs can be delayed. This effects only batch jobs. For example, if many jobs are submitted each second, the overhead of trying to schedule each one will adversely impact the rate at which jobs can be submitted. The default value is 3 seconds. Setting option defer will avoid attempting to schedule each job individually at job submit time, but defer it until a later time when scheduling multiple jobs simultaneously may be possible. This option may improve system responsiveness when large numbers of jobs (many hundreds) are submitted at the same time, but it will delay the initiation time of individual jobs. Setting the defer_batch option is similar to the defer option, as explained above. The difference is that defer_batch will allow interactive jobs to be started immediately, but jobs submitted with sbatch will be deferred to allow multiple jobs to accumulate and be scheduled at once. sched_min_interval is yet another configuration parameter to control how frequently the scheduling logic runs. It can still be triggered on each job submit, job termination, or other state change which could permit a new job to be started. However that triggering does not cause the scheduling logic to be started immediately, but only within the configured sched_interval.","[""doc_04b1_sent_00045"", ""doc_04b1_sent_00046"", ""doc_04b1_sent_00047"", ""doc_04b1_sent_00048"", ""doc_04b1_sent_00049"", ""doc_04b1_sent_00050"", ""doc_04b1_sent_00051"", ""doc_04b1_sent_00052"", ""doc_04b1_sent_00053"", ""doc_04b1_sent_00054"", ""doc_04b1_sent_00055"", ""doc_04b1_sent_00056""]",12,5824,7386,315
doc_04b1_chunk_0006,doc_04b1,"However that triggering does not cause the scheduling logic to be started immediately, but only within the configured sched_interval. For example, if sched_min_interval=2000000 (microseconds) and 100 jobs are submitted within a 2 second time window, then the scheduling logic will be executed one time rather than 100 times if sched_min_interval was set to 0 (no delay). Besides controlling how frequently the scheduling logic is executed, the default_queue_depth configuration parameter controls how many jobs are considered to be started in each scheduler iteration. The default value of default_queue_depth is 100 (jobs), which should be fine in most cases. The sched/backfill plugin has relatively high overhead if used with large numbers of job. Configuring bf_max_job_test to a modest size (say 100 jobs or less) and bf_interval to 30 seconds or more will limit the overhead of backfill scheduling (NOTE: the default values are fine for both of these parameters). Other backfill options available for tuning backfill scheduling include bf_max_job_user, bf_resolution and bf_window. See the slurm.conf man page for details. A set of scheduling parameters currently used for running hundreds of jobs per second on a sustained basis on one cluster follows. Note that every environment is different and this set of parameters will not work well in every case, but it may serve as a good starting point. batch_sched_delay=20
bf_continue
bf_interval=300
bf_min_age_reserve=10800
bf_resolution=600
bf_yield_interval=1000000
partition_job_depth=500
sched_max_job_start=200
sched_min_interval=2000000
SlurmctldParameters: Many slurmctld daemon parameters are available. The conmgr_threads option controls the size of the thread pool that is used to process communications. Threads are used as needed to handle I/O or to process incoming RPCs and generate replies. The trade off is that slurmctld will use more memory for each additional thread. Increasing thread counts will also cause increased kernel scheduler contention when there are more threads than available hardware CPUs, increasing the potential for thread starvation.","[""doc_04b1_sent_00056"", ""doc_04b1_sent_00057"", ""doc_04b1_sent_00058"", ""doc_04b1_sent_00059"", ""doc_04b1_sent_00060"", ""doc_04b1_sent_00061"", ""doc_04b1_sent_00062"", ""doc_04b1_sent_00063"", ""doc_04b1_sent_00064"", ""doc_04b1_sent_00065"", ""doc_04b1_sent_00066"", ""doc_04b1_sent_00067""]",12,7253,10552,393
doc_04b1_chunk_0007,doc_04b1,"Increasing thread counts will also cause increased kernel scheduler contention when there are more threads than available hardware CPUs, increasing the potential for thread starvation. While processing incoming RPC requests, slurmctld usually has to obtain one or more of the global slurmctld locks. Each thread attempting to obtain a lock can cause increased contention with the scheduler threads. Lock contention will result in the job scheduler running slower or with non-neglible delays. Sites wishing for more RPC throughput can increase conmgr_threads from the defaults, while sites wishing to prioritize scheduler threads can decrease the thread count. Sites are advised to monitor for changes in sdiag's job start statistics when changing this parameter. conmgr_threads should at least be between 2-4 times the number of hardware CPU threads available to slurmctld daemon due to most RPC processing needing to wait on global locks. Increasing conmgr_threads too much could cause an Out of Memory event which will cause slurmctld to crash, potentially losing jobs and accounting. SchedulerType: If most jobs are short lived then use of the sched/builtin plugin is recommended. This manages a queue of jobs on a First-In-First-Out (FIFO) basis and eliminates logic used to sort the queue by priority. SlurmctldDebug: More detailed logging will decrease system throughput. Set to error or info for regular operations with high throughput workload. SlurmctldPort: It is desirable to configure the slurmctld daemon to accept incoming messages on more than one port in order to avoid having incoming messages discarded by the operating system due to exceeding the SOMAXCONN limit described above. Using between two and ten ports is suggested when large numbers of simultaneous requests are to be supported.","[""doc_04b1_sent_00067"", ""doc_04b1_sent_00068"", ""doc_04b1_sent_00069"", ""doc_04b1_sent_00070"", ""doc_04b1_sent_00071"", ""doc_04b1_sent_00072"", ""doc_04b1_sent_00073"", ""doc_04b1_sent_00074"", ""doc_04b1_sent_00075"", ""doc_04b1_sent_00076"", ""doc_04b1_sent_00077"", ""doc_04b1_sent_00078""]",12,10368,12177,357
